UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.3348,-0.1458,0.9890,1.3856
2,44,0.3946,-0.0980,1.0128,1.3854
3,66,0.3990,-0.0722,0.9701,1.3848
4,89,0.3829,-0.0613,0.9161,1.3834
5,110,0.3936,-0.0387,0.8922,1.3816
6,132,0.4087,-0.0279,0.9008,1.3815
7,151,0.4105,-0.0308,0.9102,1.3818
8,171,0.3836,-0.0351,0.8651,1.3816
9,192,0.3680,-0.0235,0.8106,1.3811
10,214,0.3679,-0.0367,0.8367,1.3782
11,234,0.3958,0.0038,0.8115,1.3783
12,254,0.3705,0.0116,0.7452,1.3770
13,276,0.3210,-0.0155,0.7005,1.3744
14,297,0.3278,-0.0074,0.6978,1.3693
15,309,0.3053,-0.1918,1.0216,1.3686
16,327,0.3405,-0.0046,0.7174,1.3636
17,338,0.3810,-0.1314,1.0522,1.3698
18,357,0.3365,0.0238,0.6525,1.3603
19,376,0.3606,0.0161,0.7160,1.3501
20,393,0.3819,0.0586,0.6733,1.3440
21,409,0.3722,-0.0216,0.8143,1.3410
22,428,0.2800,-0.0029,0.5924,1.3319
23,446,0.2356,-0.0122,0.5221,1.3325
24,464,0.2141,-0.0181,0.4908,1.3262
25,481,0.4624,0.0646,0.8219,1.3225
26,498,0.1866,-0.0177,0.4349,1.3176
27,516,0.0966,-0.0905,0.4005,1.3119
28,532,0.2398,0.0451,0.4155,1.3037
29,548,0.4087,0.0897,0.6641,1.3077
30,566,0.2278,-0.0217,0.5249,1.2969
31,585,0.1746,-0.0651,0.5052,1.2896
32,601,0.2955,0.0149,0.5873,1.3028
33,617,0.2840,0.0057,0.5823,1.2894
34,632,0.2332,-0.0222,0.5362,1.2726
35,647,0.1630,-0.0009,0.3528,1.2558
36,663,0.2067,-0.0070,0.4525,1.2505
37,677,0.2370,0.0622,0.3750,1.2719
38,686,0.1681,-0.2842,0.9310,1.3102
39,700,0.2601,0.0683,0.4094,1.2882
40,715,0.4235,0.0224,0.8277,1.2773
41,727,0.4436,-0.0195,0.9516,1.2751
42,737,0.1422,-0.1820,0.6736,1.2647
43,750,0.2201,0.0270,0.4112,1.2509
44,757,0.2117,-0.1313,0.7117,1.2838
45,772,0.4733,0.1218,0.7283,1.2636
46,779,0.3616,-0.0991,0.9474,1.3027
47,793,0.1822,-0.0447,0.4788,1.2533
48,807,0.3786,0.0887,0.6052,1.2695
49,822,0.4009,0.0511,0.7245,1.2401
50,836,0.2152,0.0092,0.4361,1.2056
51,847,0.2106,-0.0151,0.4751,1.1880
52,850,0.0173,-0.3055,0.6710,1.2654
53,862,0.2967,0.0552,0.5070,1.2007
54,870,0.3508,-0.1198,0.9657,1.2258
55,882,0.4947,0.1246,0.7643,1.2020
56,890,0.4044,0.0048,0.8242,1.2455
57,901,0.2518,-0.0680,0.6633,1.1783
58,912,0.3764,0.1099,0.5557,1.1352
59,917,0.1515,-0.1320,0.5903,1.1697
60,923,0.3074,-0.1037,0.8463,1.2020
61,930,0.3059,-0.0197,0.6756,1.2233
62,941,0.4382,0.1129,0.6740,1.1632
63,951,0.2356,-0.0437,0.5814,1.1353
64,958,0.2165,-0.1933,0.8434,1.1877
65,964,0.1991,-0.0350,0.4917,1.1844
66,969,0.2428,-0.0700,0.6501,1.2254
67,979,0.4873,0.1184,0.7615,1.1869
68,992,0.4370,0.1293,0.6383,1.1493
69,998,0.2053,-0.2094,0.8535,1.2032
70,1004,0.1912,-0.0127,0.4310,1.1566
71,1008,0.4046,-0.0227,0.8787,1.2106
72,1013,0.2616,-0.0233,0.5935,1.1795
73,1016,0.2589,-0.1297,0.8014,1.2097
74,1020,0.3738,0.0257,0.7212,1.2472
75,1026,0.5040,0.1713,0.6894,1.2011
76,1030,0.4060,0.0064,0.8234,1.2083
77,1035,0.2021,-0.0792,0.5868,1.2132
78,1040,0.2609,-0.0390,0.6250,1.2557
79,1045,0.3061,0.0040,0.6296,1.2691
80,1052,0.3877,0.0410,0.7182,1.2441
81,1057,0.3390,-0.0891,0.8806,1.2265
82,1068,0.3338,0.0558,0.5787,1.1372
83,1074,0.2872,-0.0638,0.7263,1.2065
84,1077,0.2574,-0.1379,0.8159,1.2591
85,1083,0.3868,0.0775,0.6434,1.2391
86,1092,0.4566,0.2054,0.5253,1.1444
87,1099,0.3096,-0.0036,0.6504,1.1925
88,1106,-0.0157,-0.2530,0.4981,1.1747
89,1113,0.3376,-0.0144,0.7279,1.1967
90,1119,0.5033,0.1387,0.7535,1.2099
91,1121,0.1684,-0.2328,0.8283,1.2989
92,1128,0.3631,0.0445,0.6616,1.2206
93,1138,0.3827,0.1519,0.4841,1.1249
94,1144,0.2798,-0.0520,0.6884,1.2411
95,1156,0.4070,0.0596,0.7161,1.0627
96,1162,0.4296,0.0701,0.7405,1.0700
97,1167,0.2102,-0.1101,0.6636,1.1572
98,1169,0.3045,-0.1179,0.8674,1.1291
99,1174,0.0389,-0.2385,0.5778,1.1455
