Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-233.9881,99,86.3360
24,-164.4655,121,88.0692
25,-248.5916,113,89.3158
26,-412.7954,90,89.3500
27,-228.9712,98,89.7825
28,-78.3765,67,88.6433
29,-246.1795,104,89.4112
30,-109.2723,83,89.0906
31,-161.2843,120,90.6361
32,-141.6996,142,93.2043
33,-104.0260,68,91.9441
34,-126.6637,75,91.0969
35,-68.3661,94,91.2420
36,-107.5431,108,92.0799
37,-80.8174,60,90.4759
38,-78.2528,75,89.7021
39,-105.5434,134,91.9170
40,-101.8677,56,90.1212
41,-67.7629,103,90.7651
42,-114.9847,90,90.7269
43,-245.9598,168,94.5905
44,-82.4510,94,94.5610
45,-160.9005,69,93.2829
46,-90.9513,75,92.3688
47,-96.1773,71,91.3004
48,-54.1226,119,92.6853
49,-389.8816,93,92.7011
50,-112.4814,101,93.1160
51,-123.6961,108,93.8602
52,-104.8066,77,93.0172
53,-130.4871,108,93.7663
54,-138.9252,88,93.4780
55,-140.3392,143,95.9541
56,-103.2003,108,96.5564
57,-128.8342,95,96.4786
58,-140.0767,101,96.7047
59,-116.1019,71,95.4194
60,-110.8893,90,95.1485
61,-135.7024,124,96.5910
62,-276.1943,114,97.4615
63,-82.0071,96,97.3884
64,-77.0156,71,96.0690
65,-56.3698,74,94.9655
66,-57.5026,74,93.9173
67,-83.2300,78,93.1214
68,-224.4979,128,94.8653
69,-96.5947,109,95.5721
70,-138.7090,124,96.9935
71,-63.8686,75,95.8938
72,-66.9569,82,95.1991
73,-46.0889,88,94.8391
74,-332.3859,134,96.7972
75,-276.5280,127,98.3073
76,-98.1874,118,99.2920
77,-136.9520,112,99.9274
78,-97.0467,83,99.0810
79,-155.7324,88,98.5269
80,-75.7180,78,97.5006
81,-75.6657,96,97.4256
82,-164.4018,79,96.5043
