Episode,Reward,Length,SmoothedLengthEMA
1,20.8117,79,79.0000
2,-229.6519,114,80.7500
3,-139.7745,88,81.1125
4,-71.2778,62,80.1569
5,-121.0236,102,81.2490
6,-63.4484,72,80.7866
7,-156.7850,107,82.0973
8,-111.1008,63,81.1424
9,-120.3564,94,81.7853
10,12.0028,80,81.6960
11,-314.2229,80,81.6112
12,-103.6952,73,81.1806
13,-320.8025,65,80.3716
14,-150.3834,59,79.3030
15,-332.8006,108,80.7379
16,-277.7454,73,80.3510
17,-164.9471,82,80.4334
18,-306.3899,95,81.1618
19,-355.3553,94,81.8037
20,-96.9732,68,81.1135
21,-86.2749,84,81.2578
22,-161.3978,59,80.1449
23,-485.0430,85,80.3877
24,-172.4743,95,81.1183
25,-480.3220,100,82.0624
26,-523.4930,87,82.3093
27,-502.0296,85,82.4438
28,-14.8919,60,81.3216
29,-354.7582,94,81.9555
30,-349.9323,74,81.5578
31,-68.5015,104,82.6799
32,-328.6573,102,83.6459
33,-104.8757,65,82.7136
34,-176.9282,70,82.0779
35,-173.9564,90,82.4740
36,-315.4631,104,83.5503
37,-131.9112,59,82.3228
38,-291.4348,67,81.5566
39,-534.2328,133,84.1288
40,-301.0984,59,82.8724
41,-317.3427,80,82.7288
42,-218.3884,74,82.2923
43,-221.3060,120,84.1777
44,-185.4362,82,84.0688
45,-83.3833,64,83.0654
46,-173.1009,76,82.7121
47,-377.2870,77,82.4265
48,-317.0250,100,83.3052
49,-398.0426,99,84.0899
50,-124.7045,98,84.7854
51,-126.8583,95,85.2962
52,-198.5949,68,84.4313
53,-179.7895,116,86.0098
54,-129.6547,105,86.9593
55,-374.5115,107,87.9613
56,74.8632,1000,133.5633
57,-112.4177,84,131.0851
58,-71.5208,92,129.1308
59,-209.2953,68,126.0743
60,-188.7997,79,123.7206
61,-123.9234,127,123.8846
62,-148.9585,112,123.2903
63,-65.3744,84,121.3258
64,-242.4096,78,119.1595
65,-298.5883,67,116.5515
66,-97.0505,75,114.4740
67,-253.5679,93,113.4003
68,-165.7157,88,112.1303
69,-311.6818,93,111.1737
70,-246.2219,92,110.2151
71,-117.9390,72,108.3043
72,-64.2069,63,106.0391
73,-76.5066,65,103.9871
74,-341.5439,96,103.5878
75,-244.6177,98,103.3084
76,-258.6764,114,103.8430
77,-380.6295,83,102.8008
78,-90.4660,76,101.4608
79,-312.1654,98,101.2877
80,-139.5451,65,99.4734
81,-98.5915,67,97.8497
82,-276.6712,85,97.2072
83,-211.3650,128,98.7468
84,-205.0744,82,97.9095
85,-114.6367,86,97.3140
86,-206.4257,93,97.0983
87,-131.7394,97,97.0934
88,-110.5280,64,95.4387
89,-77.9072,71,94.2168
90,-103.0455,126,95.8060
91,-97.7708,95,95.7657
92,32.2482,83,95.1274
93,-176.1293,129,96.8210
94,-212.3367,87,96.3300
95,-245.5893,88,95.9135
96,-110.2535,71,94.6678
97,-171.1615,124,96.1344
98,-123.5601,78,95.2277
99,-220.0979,103,95.6163
100,-132.7996,82,94.9355
101,-109.1604,105,95.4387
102,-86.6228,71,94.2168
103,-178.1008,91,94.0559
104,-196.5802,89,93.8031
105,-151.5283,57,91.9630
106,-223.7052,74,91.0648
107,-186.7913,101,91.5616
108,-174.0522,116,92.7835
109,-266.9259,83,92.2943
110,-312.3600,118,93.5796
111,-170.2599,110,94.4006
112,-323.0945,83,93.8306
113,-119.4959,66,92.4391
114,-287.8112,119,93.7671
115,-73.0292,106,94.3788
116,-75.9729,62,92.7598
117,-123.5207,87,92.4718
118,-137.4127,90,92.3482
119,-358.1591,84,91.9308
120,-143.3563,117,93.1843
121,-120.5317,81,92.5751
122,-186.7952,107,93.2963
123,-233.8430,78,92.5315
124,-105.4059,95,92.6549
125,-47.5069,72,91.6222
126,-117.7134,66,90.3411
127,-154.3744,72,89.4240
128,-69.2421,68,88.3528
129,-182.3260,72,87.5352
130,-91.0517,74,86.8584
131,12.0010,71,86.0655
132,-296.4504,73,85.4122
133,-113.6741,107,86.4916
134,-80.6362,63,85.3170
135,-127.6750,68,84.4512
136,-264.7395,153,87.8786
137,-160.0668,65,86.7347
138,-106.5335,101,87.4480
139,-186.9956,111,88.6256
140,-118.6566,108,89.5943
141,-152.0174,110,90.6146
142,-214.2844,59,89.0338
143,-94.1386,71,88.1321
144,-114.8046,79,87.6755
145,-92.5395,106,88.5918
146,-100.4519,114,89.8622
147,-159.1632,84,89.5691
148,-89.8620,134,91.7906
149,-106.4640,110,92.7011
150,-74.7194,64,91.2660
151,-110.0121,88,91.1027
152,-109.0383,97,91.3976
153,-450.7578,84,91.0277
154,-128.9934,98,91.3763
155,-81.7874,65,90.0575
