UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,25,0.4886,-0.0169,1.0380,1.3574
2,48,0.4594,-0.0125,0.9709,1.3580
3,60,0.4375,-0.0130,0.9287,1.3809
4,83,0.4909,0.0053,0.9986,1.3737
5,105,0.4784,-0.0036,0.9915,1.3777
6,128,0.4226,0.0016,0.8693,1.3727
7,150,0.5415,-0.0073,1.1252,1.3765
8,173,0.4071,0.0009,0.8400,1.3771
9,196,0.4621,-0.0002,0.9520,1.3771
10,219,0.4354,-0.0029,0.9041,1.3720
11,242,0.4087,-0.0064,0.8579,1.3813
12,266,0.5366,0.0011,1.0986,1.3817
13,287,0.4246,-0.0002,0.8771,1.3724
14,308,0.5308,-0.0038,1.0965,1.3698
15,331,0.5443,-0.0118,1.1396,1.3698
16,354,0.4453,0.0038,0.9104,1.3654
17,376,0.4757,-0.0054,0.9888,1.3231
18,400,0.4304,-0.0000,0.8881,1.3583
19,423,0.4788,-0.0068,0.9983,1.3476
20,447,0.4095,-0.0010,0.8476,1.3297
21,472,0.4380,0.0003,0.9022,1.3402
22,494,0.4430,-0.0017,0.9165,1.3532
23,517,0.4846,0.0040,0.9885,1.3596
24,540,0.3811,0.0011,0.7871,1.3592
25,562,0.4620,0.0003,0.9506,1.3598
26,586,0.4910,-0.0011,1.0117,1.3731
27,607,0.4518,-0.0064,0.9440,1.3753
28,629,0.4257,-0.0061,0.8910,1.3653
29,650,0.5633,-0.0009,1.1557,1.3704
30,672,0.4492,-0.0073,0.9403,1.3604
31,693,0.4335,-0.0013,0.8970,1.3671
32,715,0.4003,-0.0053,0.8385,1.3636
33,735,0.3801,0.0002,0.7872,1.3732
34,756,0.4857,0.0097,0.9794,1.3689
35,776,0.3933,-0.0010,0.8155,1.3501
36,795,0.5233,0.0016,1.0703,1.3491
37,811,0.3856,0.0001,0.7975,1.3251
38,830,0.4852,-0.0005,0.9977,1.3196
39,844,0.4732,-0.0000,0.9728,1.3219
40,863,0.4544,-0.0049,0.9457,1.3525
41,884,0.3737,-0.0053,0.7850,1.3528
42,904,0.3988,-0.0052,0.8347,1.3411
43,921,0.4254,0.0030,0.8712,1.3179
44,941,0.3038,-0.0105,0.6546,1.3050
45,956,0.5226,-0.0008,1.0730,1.3088
46,971,0.2973,-0.0060,0.6332,1.3248
47,989,0.4324,-0.0046,0.9005,1.3291
48,1006,0.4309,0.0070,0.8739,1.3057
49,1022,0.4278,0.0147,0.8523,1.3054
50,1034,0.6269,0.0185,1.2424,1.2729
51,1050,0.4466,-0.0064,0.9316,1.2794
52,1065,0.3799,-0.0097,0.8054,1.3119
53,1086,0.3872,-0.0033,0.8075,1.3272
54,1103,0.3724,-0.0040,0.7785,1.2873
55,1119,0.4109,0.0036,0.8402,1.2733
56,1131,0.3475,-0.0004,0.7213,1.2749
57,1146,0.3979,-0.0030,0.8279,1.3062
58,1164,0.2735,-0.0192,0.6115,1.3073
59,1178,0.4150,0.0080,0.8398,1.2854
60,1193,0.4722,0.0085,0.9529,1.2746
61,1212,0.2504,-0.0107,0.5483,1.3119
62,1230,0.3885,-0.0013,0.8053,1.2841
63,1243,0.2499,0.0037,0.5181,1.2863
64,1261,0.2145,-0.0234,0.5018,1.2991
65,1277,0.2776,0.0084,0.5634,1.2481
66,1289,0.3003,0.0228,0.5804,1.2654
67,1305,0.3782,-0.0027,0.7866,1.2349
68,1316,0.4383,-0.0222,0.9457,1.2314
69,1330,0.3352,0.0043,0.6863,1.2188
70,1341,0.3657,0.0145,0.7263,1.1947
71,1354,0.2319,-0.0405,0.5682,1.1751
72,1360,0.5343,0.0157,1.0600,1.1334
73,1371,0.3482,-0.0007,0.7225,1.2296
74,1385,0.2573,-0.0134,0.5654,1.2029
75,1396,0.2577,-0.0164,0.5713,1.1479
76,1402,0.4897,0.0149,0.9722,1.1324
77,1410,0.5138,-0.0496,1.1499,1.1455
78,1422,0.8674,0.4664,0.8261,1.1985
79,1433,0.0268,-0.3362,0.7495,1.1773
80,1442,0.4993,0.1351,0.7509,1.1242
81,1448,0.6119,0.0807,1.0843,1.0924
82,1455,0.5280,0.0416,0.9949,1.1103
83,1469,0.2593,-0.0513,0.6432,1.1008
84,1474,0.4473,0.0392,0.8382,1.0988
85,1488,0.2259,-0.0842,0.6424,1.1117
86,1492,0.5230,0.0601,0.9468,1.0501
87,1498,0.3244,-0.0144,0.6999,1.1248
88,1511,0.1511,-0.0852,0.4949,1.1067
89,1516,0.3775,0.0368,0.7037,1.1164
90,1523,0.3250,-0.1256,0.9235,1.1118
91,1526,0.4845,0.0535,0.8839,1.0915
92,1537,0.5363,0.1905,0.7139,1.1199
93,1547,0.3020,-0.0657,0.7574,1.1002
94,1554,0.3323,-0.0020,0.6918,1.1649
95,1567,0.1590,-0.0656,0.4720,1.1442
96,1572,0.2225,-0.0728,0.6126,1.1019
97,1577,0.4847,0.0192,0.9537,1.1383
98,1583,0.4044,0.0175,0.7960,1.1129
99,1588,0.3318,-0.0028,0.6913,1.1132
100,1593,0.4257,0.0036,0.8673,1.1544
101,1599,0.3373,-0.0129,0.7230,1.1245
102,1603,0.3785,0.0051,0.7688,1.0976
103,1607,0.4247,-0.0008,0.8726,1.0779
104,1613,0.4427,0.0207,0.8669,1.1463
105,1625,0.3007,-0.0056,0.6340,1.0635
106,1631,0.2795,-0.0368,0.6557,1.1547
107,1633,0.3405,-0.0322,0.7684,1.1537
108,1649,0.8411,0.4460,0.8137,1.1824
109,1661,-0.0424,-0.2818,0.5020,1.1563
110,1669,0.2373,-0.0169,0.5297,1.0643
111,1671,0.3312,-0.0352,0.7548,1.1046
112,1678,0.3048,0.0129,0.6056,1.0895
113,1681,0.4120,0.0273,0.7916,1.1177
114,1687,0.3308,-0.0100,0.7038,1.1091
115,1697,0.2210,0.0970,0.2699,1.0937
116,1704,0.0185,-0.2869,0.6322,1.0739
117,1710,0.4783,0.2250,0.5282,1.0846
118,1713,0.1621,-0.1655,0.6769,1.0818
119,1716,0.2285,-0.0111,0.5014,1.1152
120,1729,0.8490,0.4930,0.7351,1.1565
121,1737,0.0025,-0.9726,1.9721,1.0920
122,1740,0.2178,-0.1999,0.8575,1.1086
123,1742,0.6169,0.2355,0.7856,1.1426
124,1756,0.2588,0.0289,0.4815,1.0879
125,1759,-0.0727,-0.6687,1.2139,1.0914
126,1766,0.6184,0.2027,0.8529,1.0824
127,1769,0.1893,-0.0660,0.5340,1.1687
128,1780,0.5038,0.2130,0.6043,1.1312
129,1784,-0.0506,-0.5198,0.9604,1.1064
130,1787,0.3921,0.0295,0.7467,1.0800
131,1792,0.4870,0.1956,0.6050,1.1174
132,1794,0.0474,-0.3100,0.7372,1.1153
133,1796,0.3615,0.0858,0.5732,1.0834
134,1800,0.2353,-0.0590,0.6101,1.0733
135,1802,0.2860,0.0216,0.5504,1.0785
136,1808,0.4076,0.0010,0.8342,1.0487
137,1811,0.2201,-0.0638,0.5898,1.0929
138,1813,0.2162,0.0109,0.4333,1.1351
139,1827,0.8750,0.4998,0.7717,1.0673
140,1834,-0.0992,-0.5678,0.9595,1.1160
141,1842,0.3089,-0.0375,0.7133,1.0268
142,1845,0.1979,-0.0504,0.5186,1.0987
143,1849,0.4293,0.1701,0.5401,1.0796
144,1858,0.3463,-0.0546,0.8239,1.1042
145,1863,0.2015,-0.1393,0.7037,1.1077
146,1869,0.4240,0.0890,0.6913,1.0661
147,1873,0.2469,-0.0566,0.6291,1.1032
148,1876,0.3304,-0.0195,0.7227,1.1456
149,1884,0.5862,0.2184,0.7577,1.1020
150,1888,-0.0167,-0.3523,0.6924,1.0541
151,1893,0.4507,0.0730,0.7772,1.0845
152,1899,0.3891,0.0641,0.6710,1.0557
153,1901,0.0823,-0.1831,0.5545,1.1825
154,1905,0.3894,0.0893,0.6220,1.1016
155,1913,0.4533,0.0866,0.7543,1.0405
156,1916,-0.0859,-0.3989,0.6492,1.1570
157,1921,0.3909,0.0763,0.6524,1.1532
158,1925,0.3403,0.0373,0.6280,1.0970
159,1928,0.1359,-0.1250,0.5443,1.1202
160,1933,0.5021,0.1560,0.7142,1.1035
161,1935,-0.0329,-0.2638,0.4853,1.1709
162,1938,0.3164,0.0835,0.4880,1.1098
163,1942,0.3336,0.0012,0.6860,1.0603
164,1946,0.2945,0.0268,0.5574,1.0991
165,1948,0.1369,-0.1030,0.5024,1.1356
166,1950,0.1385,0.0099,0.2802,1.1509
167,1953,0.3267,0.0097,0.6564,1.1201
168,1956,0.1902,0.0027,0.3977,1.1359
169,1960,0.2784,0.0140,0.5507,1.0928
170,1964,0.2636,-0.0262,0.6022,1.1230
171,1971,0.6399,0.2382,0.8245,1.0580
172,1973,-0.1151,-0.4119,0.6155,1.0883
173,1977,0.3397,0.0193,0.6639,1.1610
174,1983,0.4444,0.0899,0.7314,1.1210
175,1990,0.4299,0.0507,0.7806,1.1136
176,1996,0.2439,-0.1368,0.7848,1.1684
177,2000,0.4090,-0.0035,0.8479,1.1464
178,2004,0.3141,0.0115,0.6288,1.1810
179,2010,0.6384,0.1854,0.9272,1.0661
180,2018,0.4445,0.1376,0.6345,1.0381
181,2020,-0.0794,-0.6428,1.1487,1.0936
182,2025,0.2467,-0.0964,0.7083,1.1003
183,2028,0.2787,-0.0375,0.6566,1.2167
184,2030,0.1972,0.0243,0.3699,1.2081
185,2036,1.2854,0.5635,1.4644,1.0367
186,2042,0.4036,-0.0038,0.8369,1.1052
187,2045,0.1051,-0.3352,0.9028,1.1124
188,2051,0.4661,0.0620,0.8300,1.0888
189,2053,0.1688,-0.1657,0.6905,1.0783
190,2058,0.7226,0.3116,0.8429,1.0427
191,2060,0.1891,-0.0968,0.5955,1.1764
192,2062,0.3844,0.0611,0.6690,1.1183
193,2066,0.4790,0.1017,0.7762,1.0795
194,2068,0.0327,-0.2482,0.5841,1.1130
195,2070,0.2467,0.0348,0.4465,1.1407
196,2073,0.3408,0.0504,0.6007,1.0002
197,2082,1.2682,0.6649,1.2257,0.9595
198,2084,-0.1596,-0.4329,0.5669,1.0139
199,2086,0.0520,-0.1573,0.4420,1.1765
200,2088,0.3134,0.1385,0.3734,1.1841
201,2090,0.1522,0.0005,0.3262,1.1471
202,2093,0.4398,0.0712,0.7606,1.1696
203,2095,0.0659,-0.1496,0.4542,1.1548
204,2097,0.1414,0.0036,0.2980,1.1167
205,2099,0.3837,0.0897,0.6107,1.1346
206,2103,0.7173,0.2258,1.0052,1.1128
207,2106,0.2395,-0.1477,0.7963,1.0988
208,2109,0.3767,-0.0155,0.8073,1.1375
209,2111,0.2831,0.0676,0.4542,1.1623
210,2113,0.3044,0.0293,0.5740,1.1939
211,2116,0.5539,0.0782,0.9737,1.1167
212,2118,0.0447,-0.3099,0.7322,1.1566
213,2120,0.3417,0.0466,0.6134,1.1585
214,2122,0.2738,-0.0421,0.6542,1.1257
215,2125,0.6939,0.1754,1.0583,1.0682
216,2129,0.5395,0.0266,1.0478,1.1062
217,2131,0.1118,-0.1503,0.5470,1.1443
218,2133,0.1759,-0.0799,0.5325,1.0489
219,2138,0.9162,0.3434,1.1662,1.0247
220,2143,0.5604,0.0765,0.9893,1.0796
221,2145,0.0459,-0.2375,0.5882,1.0735
222,2147,0.1319,-0.1027,0.4922,1.1510
223,2149,0.4328,0.0604,0.7657,1.0418
224,2152,0.3137,0.0446,0.5598,1.0727
225,2154,0.1291,-0.0388,0.3577,1.0979
226,2156,0.1272,-0.0237,0.3243,1.1215
227,2160,0.6166,0.2357,0.7838,1.0928
228,2164,0.5555,-0.0475,1.2253,0.9692
229,2169,0.4029,0.0080,0.8103,1.0254
230,2172,0.1875,-0.2009,0.7987,1.0883
231,2174,0.3427,-0.1275,0.9568,0.8249
232,2179,0.5976,0.1425,0.9302,1.0047
233,2181,0.2462,-0.0702,0.6507,0.8981
234,2183,0.2797,-0.0146,0.6090,1.0171
235,2185,0.3318,0.1001,0.4833,0.9969
236,2187,0.2676,0.0474,0.4619,1.0736
237,2189,0.4095,0.0361,0.7676,1.0442
238,2193,0.5383,0.1039,0.8898,1.0551
239,2196,0.2767,-0.1554,0.8863,1.0992
240,2198,0.1059,-0.1678,0.5696,1.1132
241,2200,0.2964,0.0249,0.5645,1.0769
242,2202,0.4516,0.1543,0.6162,1.0795
243,2204,0.3292,0.0655,0.5495,1.1066
244,2206,0.1071,-0.1176,0.4687,0.9659
245,2208,0.1926,0.0195,0.3686,1.1208
246,2210,0.3148,0.0662,0.5197,1.1246
247,2212,0.1891,0.0002,0.3995,1.0906
248,2214,0.1489,-0.0282,0.3757,1.0812
249,2217,0.9688,0.3728,1.2118,0.9943
250,2219,0.2654,-0.0404,0.6330,1.0709
251,2221,0.3974,-0.0214,0.8586,1.0542
252,2224,0.4476,0.0833,0.7477,0.9521
253,2226,0.1095,-0.0827,0.4063,1.1024
254,2228,0.1210,-0.0620,0.3872,1.0596
255,2231,0.7481,0.1864,1.1450,1.0821
256,2233,0.1157,-0.0354,0.3243,1.1012
257,2235,0.1258,-0.0614,0.3969,1.1247
258,2237,0.2116,0.0433,0.3581,1.0755
259,2239,0.1819,-0.0367,0.4588,1.0770
260,2241,0.3170,0.0870,0.4826,1.1250
261,2243,0.2452,-0.0091,0.5298,1.0607
262,2245,0.0939,-0.1004,0.4102,1.0798
263,2248,1.1619,0.4177,1.5085,1.0082
264,2250,0.6197,0.0950,1.0686,0.9605
265,2252,0.1831,-0.0744,0.5357,1.0334
266,2255,0.5038,0.0797,0.8672,0.9566
267,2257,0.1376,-0.1105,0.5172,1.0528
268,2259,0.2437,-0.0305,0.5696,1.0603
269,2261,0.2252,-0.0218,0.5144,1.0145
270,2263,0.1547,-0.0056,0.3423,1.0854
271,2266,0.4367,0.0813,0.7299,0.9527
272,2268,0.1969,-0.0876,0.5891,1.0023
273,2271,0.6203,0.1343,0.9905,0.9205
274,2273,0.0980,-0.1379,0.4913,0.9665
275,2276,0.4782,0.1296,0.7174,1.0099
276,2278,0.3410,-0.0876,0.8752,0.8965
277,2280,0.3093,0.0030,0.6335,1.0440
278,2282,0.2092,-0.0086,0.4554,0.9936
279,2284,0.3678,0.0633,0.6286,0.9733
280,2287,0.4773,0.0531,0.8689,1.0261
281,2289,0.0778,-0.1873,0.5517,1.0783
282,2292,0.5276,0.1137,0.8484,1.0285
283,2294,0.4450,-0.0444,0.9999,1.0528
