Episode,Reward,Length,SmoothedLengthEMA
1,-78.0840,78,78.0000
2,-341.7439,89,78.5500
3,-83.5687,109,80.0725
4,-69.1961,65,79.3189
5,-132.3685,108,80.7529
6,-359.0898,104,81.9153
7,-124.9985,120,83.8195
8,-125.4095,65,82.8785
9,-239.0801,119,84.6846
10,-106.0837,63,83.6004
11,-217.4460,103,84.5704
12,-283.1406,66,83.6418
13,-211.5151,78,83.3598
14,-154.6159,61,82.2418
15,-239.6162,106,83.4297
16,-211.3965,71,82.8082
17,-145.2078,96,83.4678
18,-351.5247,123,85.4444
19,-340.2145,90,85.6722
20,-94.5411,80,85.3886
21,-91.6181,82,85.2191
22,-83.7678,66,84.2582
23,-282.9737,98,84.9453
24,-109.1099,141,87.7480
25,-368.2625,109,88.8106
26,-344.5282,93,89.0201
27,-368.3273,87,88.9191
28,-3.4970,100,89.4731
29,-372.8610,127,91.3495
30,-360.8507,84,90.9820
31,-103.6996,143,93.5829
32,-186.5108,125,95.1537
33,-312.7180,82,94.4961
34,-97.1111,94,94.4713
35,-305.3949,106,95.0477
36,-277.4601,99,95.2453
37,-89.3949,71,94.0330
38,-75.5372,77,93.1814
39,-70.1871,138,95.4223
40,-77.6042,60,93.6512
41,-78.4848,92,93.5686
42,-71.9247,92,93.4902
43,-76.7024,178,97.7157
44,-145.2444,103,97.9799
45,-356.7411,75,96.8309
46,-86.7717,91,96.5394
47,-138.3241,86,96.0124
48,-248.1583,174,99.9118
49,-140.1051,87,99.2662
50,-121.3385,126,100.6029
51,-31.1864,123,101.7227
52,-90.4509,79,100.5866
53,-336.2568,141,102.6073
54,-121.3692,96,102.2769
55,-253.2572,119,103.1131
56,-306.3754,103,103.1074
57,-367.1501,115,103.7020
58,-311.9631,119,104.4669
59,15.2707,79,103.1936
60,-248.7967,101,103.0839
61,-198.0295,172,106.5297
62,-163.0549,121,107.2532
63,-40.1753,94,106.5906
64,-185.4392,81,105.3110
65,-192.9440,84,104.2455
66,-108.9899,75,102.7832
67,-41.5244,77,101.4941
68,-278.6390,98,101.3194
69,-229.9283,102,101.3534
70,-359.5586,128,102.6857
71,-172.0694,94,102.2514
72,-23.8551,102,102.2389
73,-55.7658,70,100.6269
74,-243.4773,137,102.4456
75,-276.0516,98,102.2233
76,-66.0567,109,102.5621
77,-19.8372,136,104.2340
78,-92.0282,70,102.5223
79,-211.0062,86,101.6962
80,-108.6567,67,99.9614
81,-86.2071,70,98.4633
82,-128.2692,72,97.1402
83,-102.2908,114,97.9831
84,-123.6944,102,98.1840
85,-193.2547,86,97.5748
86,-150.0832,101,97.7461
87,-173.0131,109,98.3087
88,-7.9066,94,98.0933
89,-105.4393,59,96.1386
90,-139.8068,118,97.2317
91,-92.7321,95,97.1201
92,-112.6414,82,96.3641
93,-167.1336,118,97.4459
94,-140.4980,134,99.2736
95,-170.3560,95,99.0599
96,51.6370,98,99.0069
97,-269.2938,119,100.0066
98,-113.4029,90,99.5063
99,-346.9210,132,101.1310
100,-179.5126,99,101.0244
101,-90.9006,103,101.1232
102,-185.7979,75,99.8170
103,-479.1623,119,100.7762
104,-272.0763,86,100.0374
105,-72.0133,64,98.2355
106,-151.0722,68,96.7237
107,-116.6123,88,96.2875
108,-159.5771,97,96.3232
109,-104.9393,83,95.6570
110,-29.6761,106,96.1742
111,-247.4008,112,96.9654
112,-140.7484,79,96.0672
113,-190.5044,77,95.1138
114,-401.8320,147,97.7081
115,-141.8275,125,99.0727
116,-119.0685,59,97.0691
117,-108.4618,104,97.4156
118,-107.8670,110,98.0448
119,-117.3737,89,97.5926
120,-65.0082,140,99.7130
121,-277.8681,86,99.0273
122,-160.7512,119,100.0260
123,-183.6788,91,99.5747
124,-230.3190,97,99.4459
125,-72.5787,75,98.2236
126,-91.7051,63,96.4624
127,-99.0132,88,96.0393
128,-85.5053,70,94.7374
129,-78.5530,78,93.9005
130,-176.1149,82,93.3055
131,-90.8501,59,91.5902
132,-103.1521,79,90.9607
133,-317.6813,96,91.2127
134,-114.3225,72,90.2520
135,-115.6932,85,89.9894
136,-200.0025,101,90.5399
137,-123.9064,71,89.5629
138,-283.4087,100,90.0848
139,-256.8068,101,90.6306
140,-180.3486,104,91.2990
141,-309.7626,103,91.8841
142,-150.2216,101,92.3399
143,-104.3624,65,90.9729
144,-101.0984,100,91.4242
145,-4.6177,122,92.9530
146,-122.5521,111,93.8554
147,-114.2688,78,93.0626
148,-269.8129,119,94.3595
149,-147.7322,137,96.4915
150,-84.5785,61,94.7169
151,-155.7526,86,94.2811
152,-88.5727,109,95.0170
153,-276.5695,134,96.9662
154,-187.0647,94,96.8179
155,-112.7190,63,95.1270
156,-132.0219,103,95.5206
157,-228.7619,123,96.8946
158,-154.8499,113,97.6999
159,-100.4894,65,96.0649
160,-71.2532,80,95.2616
161,-143.8040,99,95.4485
162,-74.7931,70,94.1761
163,-74.5522,103,94.6173
164,-129.6148,62,92.9864
165,-161.8714,91,92.8871
166,-138.9916,75,91.9928
167,-120.0358,80,91.3931
168,-197.3132,108,92.2235
169,-118.9481,99,92.5623
170,-8.1013,123,94.0842
171,-88.0114,76,93.1800
172,-159.3760,106,93.8210
173,-279.1627,120,95.1299
174,-124.3390,94,95.0734
175,-157.4511,98,95.2198
176,-77.3963,110,95.9588
177,-112.8986,109,96.6108
178,-105.0707,63,94.9303
179,-78.8739,79,94.1338
180,22.2758,67,92.7771
181,-117.3947,75,91.8882
182,-363.3668,138,94.1938
183,-101.6509,77,93.3341
184,-105.0307,65,91.9174
185,-108.3561,86,91.6216
186,-58.8255,60,90.0405
187,-91.3742,137,92.3885
188,-237.8358,74,91.4690
189,-99.5133,79,90.8456
190,-106.9904,103,91.4533
191,-193.6589,85,91.1306
192,-226.4326,98,91.4741
193,-116.8649,59,89.8504
194,-14.6273,61,88.4079
195,-93.2106,71,87.5375
196,-152.0685,96,87.9606
197,-157.1745,90,88.0626
198,-265.0129,114,89.3594
199,-134.9058,108,90.2915
200,-122.5458,84,89.9769
201,-232.4775,119,91.4281
202,-177.1865,95,91.6067
203,-158.2133,68,90.4263
204,-107.3628,66,89.2050
205,-257.8611,118,90.6448
206,-97.4825,60,89.1125
207,-84.8108,81,88.7069
208,-187.0862,89,88.7215
209,-91.7257,61,87.3355
210,-134.1766,111,88.5187
211,-167.5796,110,89.5928
212,-106.5201,78,89.0131
213,-96.3118,75,88.3125
214,-88.6868,109,89.3468
215,-250.7999,96,89.6795
216,-81.8472,59,88.1455
217,-96.4382,103,88.8883
218,-126.3791,68,87.8438
219,-111.2560,96,88.2516
220,-86.0959,84,88.0391
221,-76.8981,105,88.8871
222,-78.5402,84,88.6428
223,-118.6839,67,87.5606
224,-144.2428,98,88.0826
225,-115.3353,92,88.2785
226,-122.7572,55,86.6145
227,-181.6304,119,88.2338
228,-257.0108,78,87.7221
229,-71.9289,67,86.6860
230,-119.1710,83,86.5017
231,-78.3389,102,87.2766
232,-109.7722,99,87.8628
233,-119.0042,104,88.6697
234,-98.8722,96,89.0362
235,-103.0609,94,89.2844
236,-87.0029,111,90.3701
237,-149.1218,88,90.2516
238,-126.7252,70,89.2391
239,-169.0383,81,88.8271
240,-146.8195,76,88.1857
241,-81.5408,65,87.0265
242,-351.0437,106,87.9751
243,-220.6908,108,88.9764
244,-100.3992,70,88.0276
245,-165.4418,101,88.6762
246,-122.4845,71,87.7924
247,-294.9534,115,89.1528
248,-88.3962,77,88.5451
249,-57.5525,74,87.8179
250,-82.6447,110,88.9270
251,-113.3712,70,87.9806
252,-99.2001,71,87.1316
253,-248.7981,100,87.7750
254,-116.7577,67,86.7363
255,-96.2481,63,85.5494
256,-103.6932,77,85.1220
257,-89.6680,79,84.8159
258,-317.6725,123,86.7251
259,-213.0987,95,87.1388
260,-84.9346,61,85.8319
261,-175.4823,90,86.0403
262,-102.1519,60,84.7383
263,-95.0897,58,83.4014
264,-118.7075,68,82.6313
265,-69.3785,62,81.5997
266,-125.9895,76,81.3197
267,-79.2054,92,81.8538
268,-91.6524,76,81.5611
269,-95.4773,63,80.6330
270,-409.4809,89,81.0514
271,-110.5609,113,82.6488
272,-160.0487,97,83.3664
273,-109.5951,86,83.4980
274,-127.7963,101,84.3731
275,-178.0378,85,84.4045
276,-113.5839,93,84.8343
277,-102.6540,63,83.7425
278,-116.1325,67,82.9054
279,-116.6565,72,82.3601
280,-97.8615,83,82.3921
281,-195.5701,82,82.3725
282,-82.8671,92,82.8539
283,-58.9371,75,82.4612
284,-69.4775,102,83.4381
285,-156.0836,105,84.5162
286,-303.1717,105,85.5404
287,-233.2493,102,86.3634
288,-113.5797,85,86.2952
289,-90.3065,73,85.6305
290,-92.6114,86,85.6490
291,-91.1446,99,86.3165
292,-175.0754,98,86.9007
293,-192.5259,81,86.6056
294,-112.3862,85,86.5254
295,-60.7392,72,85.7991
296,-110.5760,90,86.0091
297,-94.1263,113,87.3587
298,-69.0912,91,87.5407
299,-57.2767,112,88.7637
300,-128.4822,90,88.8255
301,-77.7194,63,87.5342
302,-94.6968,81,87.2075
303,-74.3230,82,86.9472
304,-77.1649,70,86.0998
305,-307.0764,121,87.8448
306,-83.9986,114,89.1526
307,-265.2904,95,89.4449
308,-103.7897,83,89.1227
309,-85.5611,76,88.4666
310,-233.1883,101,89.0932
311,-73.3427,68,88.0386
312,-79.8221,92,88.2366
313,-107.8850,72,87.4248
314,-76.7631,77,86.9036
315,-195.9410,108,87.9584
316,-203.5809,94,88.2605
317,-266.1409,83,87.9974
318,-177.5232,98,88.4976
319,-130.5474,98,88.9727
320,-85.0063,69,87.9741
321,-104.8006,88,87.9754
322,-93.5532,102,88.6766
323,-157.4499,87,88.5928
324,-125.8001,93,88.8131
325,-238.6547,85,88.6225
326,-69.6474,81,88.2413
327,-75.1827,63,86.9793
328,-177.2971,72,86.2303
329,-96.4824,88,86.3188
330,-86.7671,106,87.3029
331,-17.1176,69,86.3877
332,-90.1219,76,85.8683
333,-102.9052,114,87.2749
334,-95.7600,108,88.3112
335,-84.8814,109,89.3456
336,-105.1766,72,88.4783
337,-94.5856,78,87.9544
338,-121.1993,88,87.9567
339,-89.0497,70,87.0589
340,-104.0134,84,86.9059
341,-63.9327,79,86.5106
342,-141.9693,80,86.1851
343,-105.1235,82,85.9758
344,-108.0367,128,88.0770
345,-65.0096,110,89.1732
346,-84.3800,62,87.8145
347,-190.7742,83,87.5738
348,-94.1960,98,88.0951
349,-120.9804,110,89.1904
350,-118.2745,70,88.2308
351,-102.4164,89,88.2693
352,-56.3892,62,86.9558
353,-308.9137,111,88.1580
354,-64.9785,101,88.8001
355,-77.5924,96,89.1601
356,-118.5561,81,88.7521
357,-107.7659,99,89.2645
358,-80.9400,61,87.8513
359,-183.5564,113,89.1087
360,-221.0390,106,89.9533
361,-102.7427,119,91.4056
362,-87.6890,115,92.5853
363,-143.5989,102,93.0561
364,-64.8401,94,93.1033
365,-192.3559,224,99.6481
366,-61.0359,69,98.1157
367,-61.5368,111,98.7599
368,-75.1881,65,97.0719
369,-128.8895,95,96.9683
370,-84.9789,100,97.1199
371,-113.8498,117,98.1139
372,-127.9682,96,98.0082
373,-49.3139,73,96.7578
374,-123.4681,92,96.5199
375,-109.9478,117,97.5439
376,-98.8255,102,97.7667
377,-150.5399,78,96.7784
378,-88.6105,88,96.3395
379,-97.0255,93,96.1725
380,-82.0897,83,95.5139
381,-88.6579,72,94.3382
382,-125.6643,89,94.0713
383,-122.7485,87,93.7177
384,-124.6766,113,94.6818
385,-47.4629,73,93.5977
386,-90.9334,82,93.0178
387,-54.9799,77,92.2170
388,-148.2701,113,93.2561
389,-15.7952,112,94.1933
390,-62.6359,77,93.3336
391,-107.0394,85,92.9170
392,-93.5165,127,94.6211
393,-81.3679,66,93.1900
394,-161.0343,104,93.7305
395,-106.5186,88,93.4440
396,-102.3571,130,95.2718
397,7.9209,124,96.7082
398,-53.3181,100,96.8728
399,-122.1153,115,97.7792
400,-79.4608,90,97.3902
401,-172.7127,96,97.3207
402,-74.5294,76,96.2547
403,-125.7201,95,96.1919
404,-69.3382,71,94.9323
405,-96.4109,110,95.6857
406,-270.1996,105,96.1514
407,-51.5557,77,95.1939
408,-87.5712,89,94.8842
409,-138.5478,68,93.5400
410,-113.6319,101,93.9130
411,-120.9840,80,93.2173
412,-57.3276,180,97.5565
413,-63.7275,87,97.0286
414,-78.5793,84,96.3772
415,-89.6577,77,95.4083
416,-125.9686,100,95.6379
417,-60.8218,82,94.9560
418,-89.1288,94,94.9082
419,-30.6096,66,93.4628
420,-53.7757,87,93.1397
421,-19.9787,100,93.4827
422,-83.6040,75,92.5586
423,-54.3331,91,92.4806
424,-119.7012,84,92.0566
425,-29.7080,98,92.3538
426,-113.3724,106,93.0361
427,-178.7946,143,95.5343
428,-57.2787,88,95.1576
429,-118.5826,94,95.0997
430,-68.7634,74,94.0447
431,-35.2775,70,92.8425
432,14.5810,135,94.9503
433,-32.0111,98,95.1028
434,22.7849,108,95.7477
435,-82.6001,112,96.5603
436,-56.2566,82,95.8323
437,-97.6539,107,96.3907
438,-96.5571,115,97.3211
439,-72.0141,96,97.2551
440,-55.8366,121,98.4423
441,-70.9382,73,97.1702
442,-91.0736,85,96.5617
443,-41.6214,78,95.6336
444,-127.6638,113,96.5019
445,-26.3156,107,97.0268
446,-34.7207,121,98.2255
447,-35.9324,106,98.6142
448,-15.9582,71,97.2335
449,-42.4079,139,99.3218
450,30.0791,101,99.4057
451,-29.9900,119,100.3855
452,-62.8583,80,99.3662
453,-163.5806,735,131.1479
454,-43.5099,74,128.2905
455,-17.6844,116,127.6760
456,-107.8870,66,124.5922
457,-9.1680,91,122.9125
458,-52.9813,104,121.9669
459,-63.8851,80,119.8686
460,-66.4361,66,117.1751
461,-14.6634,79,115.2664
462,-105.2329,115,115.2531
463,-7.5843,90,113.9904
464,5.8962,106,113.5909
465,-73.8467,93,112.5614
466,-48.3897,74,110.6333
467,-66.7487,117,110.9516
468,-19.8036,103,110.5540
469,5.9918,97,109.8763
470,-55.0168,120,110.3825
471,-1.9177,121,110.9134
472,-137.0946,77,109.2177
473,-84.1600,93,108.4068
474,-13.7932,87,107.3365
475,-49.3292,79,105.9197
476,-26.1297,101,105.6737
477,-49.4907,108,105.7900
478,-75.1918,78,104.4005
479,-57.3708,84,103.3805
480,-60.7537,88,102.6115
481,-112.0326,79,101.4309
482,-87.1485,76,100.1593
483,-80.2293,93,99.8014
484,-86.2952,103,99.9613
485,-107.0267,92,99.5632
486,-105.0735,84,98.7851
487,-47.5588,77,97.6958
488,-40.8266,99,97.7610
489,-84.1090,102,97.9730
490,-16.7761,95,97.8243
491,-100.3052,95,97.6831
492,-7.4680,118,98.6990
493,-79.6314,91,98.3140
494,-89.4598,109,98.8483
495,-80.6925,107,99.2559
496,-56.3870,96,99.0931
497,-51.8912,71,97.6884
498,-13.9627,137,99.6540
499,-0.3882,120,100.6713
500,-56.2973,101,100.6878
501,-5.0697,67,99.0034
502,-14.4829,125,100.3032
503,-72.2231,62,98.3880
504,-53.1254,71,97.0186
505,-51.5740,89,96.6177
506,-38.4251,67,95.1368
507,-67.9119,118,96.2800
508,-162.9694,121,97.5160
509,34.9682,85,96.8902
510,30.6215,97,96.8957
511,10.9023,84,96.2509
512,-35.2112,93,96.0883
513,-82.7250,123,97.4339
514,-3.0793,117,98.4122
515,-62.1025,153,101.1416
516,31.0453,109,101.5345
517,-8.9183,123,102.6078
518,-46.3225,103,102.6274
519,-82.4803,88,101.8960
520,-72.5690,69,100.2512
521,-116.4732,73,98.8887
522,-26.2941,82,98.0443
523,-71.7171,81,97.1920
524,1.2353,132,98.9324
525,-30.8899,119,99.9358
526,-87.6250,95,99.6890
527,9.5033,89,99.1546
528,45.9540,94,98.8968
529,3.5181,74,97.6520
530,-10.6322,113,98.4194
531,-19.5654,92,98.0984
532,5.9924,133,99.8435
533,25.5875,131,101.4013
534,-273.4216,144,103.5313
535,-525.4298,373,117.0047
536,-155.1362,219,122.1045
537,-26.5567,111,121.5492
538,-64.5889,72,119.0718
539,-33.2972,115,118.8682
540,2.9126,108,118.3248
541,-125.1564,278,126.3085
542,-9.8654,117,125.8431
543,3.2836,84,123.7510
544,-63.0742,98,122.4634
545,-71.1682,86,120.6402
546,1.3455,110,120.1082
547,3.3303,110,119.6028
548,-54.0023,102,118.7227
549,-159.7541,208,123.1865
550,15.7091,105,122.2772
551,0.1516,139,123.1134
552,19.4472,91,121.5077
553,-66.6935,1000,165.4323
554,-95.5268,1000,207.1607
555,-19.0089,102,201.9027
556,-324.6101,712,227.4075
557,18.6959,76,219.8371
558,-26.9826,95,213.5953
559,-11.7534,1000,252.9155
560,2.7799,116,246.0697
561,-53.6777,116,239.5663
562,-144.6110,345,244.8379
563,-7.6879,111,238.1461
564,19.6186,101,231.2887
565,-46.4447,74,223.4243
566,12.4339,108,217.6531
567,-21.9526,77,210.6204
568,-32.4172,139,207.0394
569,-62.0311,83,200.8374
570,-29.0422,75,194.5456
571,-36.3968,85,189.0683
572,-29.7372,97,184.4649
573,-35.2354,97,180.0916
574,-12.1440,98,175.9871
575,-12.6282,92,171.7877
576,-98.8735,179,172.1483
577,-33.5163,1000,213.5409
578,-81.4218,310,218.3639
579,-17.7443,114,213.1457
580,-223.1987,615,233.2384
581,0.9031,1000,271.5765
582,-85.6877,88,262.3976
583,-10.7171,108,254.6778
584,-32.8308,130,248.4439
585,-11.2141,158,243.9217
586,-5.8411,1000,281.7256
587,-49.3533,132,274.2393
588,-69.6747,1000,310.5273
589,-131.8173,245,307.2510
590,-89.4298,1000,341.8884
591,-32.1649,496,349.5940
592,-45.9147,1000,382.1143
593,-334.3421,135,369.7586
594,-159.0051,141,358.3207
595,-30.0643,176,349.2046
596,-233.2429,436,353.5444
597,-174.4741,221,346.9172
