UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.4434,0.0123,0.8895,1.3744
2,43,0.4602,0.0174,0.9129,1.3551
3,61,0.4896,0.0202,0.9657,1.3439
4,81,0.3271,-0.0122,0.7052,1.3342
5,101,1.0168,0.1515,1.7569,1.3208
6,122,0.2128,-0.0976,0.6472,1.3205
7,145,0.9182,0.2320,1.3988,1.3127
8,166,0.4302,-0.0341,0.9553,1.3360
9,187,0.5002,0.0671,0.8928,1.3285
10,210,0.3828,-0.0054,0.8032,1.3370
11,233,0.3257,0.0420,0.5938,1.3212
12,256,0.6894,0.0309,1.3427,1.2808
13,281,0.2427,-0.0377,0.5871,1.3172
14,303,0.3137,0.0274,0.5990,1.3229
15,325,0.6268,0.0767,1.1256,1.2716
16,348,0.2200,-0.0414,0.5493,1.3290
17,369,0.4108,-0.0106,0.8688,1.3001
18,390,0.2667,0.0051,0.5492,1.2940
19,411,0.3609,0.0066,0.7337,1.2557
20,432,0.3138,0.0127,0.6274,1.2522
21,452,0.2511,0.0026,0.5207,1.1869
22,467,0.2871,-0.3123,1.2229,1.2098
23,488,0.2636,0.0643,0.4228,1.2057
24,509,0.2818,0.0502,0.4862,1.1520
25,529,0.2982,0.0001,0.6187,1.1219
26,542,0.0568,-0.2646,0.6648,1.0986
27,553,0.3998,0.0596,0.7017,1.0703
28,556,0.2822,-0.1209,0.8284,1.1092
29,565,0.4538,0.1481,0.6326,1.0622
30,577,0.2312,-0.0778,0.6391,1.0645
31,581,0.4492,0.0144,0.8912,1.0724
32,588,0.3266,-0.2026,1.0788,1.0147
33,590,0.3054,-0.1069,0.8461,1.0736
34,595,0.5850,0.1763,0.8375,1.0026
35,601,0.4693,0.0298,0.8999,1.0419
36,605,0.2978,-0.0861,0.7883,1.0330
37,608,0.2227,0.0017,0.4636,1.0703
38,611,0.4005,0.0504,0.7205,1.0138
39,614,0.2967,-0.0100,0.6346,1.0619
40,616,0.2451,-0.0113,0.5341,1.0691
41,619,0.2465,0.0539,0.4062,1.0522
42,621,0.0023,-0.1586,0.3432,1.0676
43,623,0.1996,0.0446,0.3311,1.0455
44,625,0.1742,0.0104,0.3501,1.1175
45,627,0.0799,-0.0488,0.2782,1.0362
46,630,0.3057,0.0555,0.5222,1.0810
47,632,0.2899,-0.0074,0.6159,1.0689
