Episode,Reward,Length,SmoothedLengthEMA
1,-287.0057,92,92.0000
2,-272.7901,118,93.3000
3,-118.5834,91,93.1850
4,-116.5740,59,91.4757
5,-79.1727,123,93.0520
6,-119.1929,84,92.5994
7,-105.3383,135,94.7194
8,-63.5224,69,93.4334
9,-328.0757,96,93.5618
10,-116.0086,62,91.9837
11,-283.9348,100,92.3845
12,-252.4502,70,91.2653
13,-158.6205,76,90.5020
14,-147.1904,63,89.1269
15,-304.2428,142,91.7706
16,-160.8889,77,91.0320
17,-344.1947,91,91.0304
18,-123.8463,114,92.1789
19,-125.3478,99,92.5200
20,-91.2013,72,91.4940
21,-231.4529,88,91.3193
22,-137.0263,70,90.2533
23,-346.1708,118,91.6406
24,-158.9627,118,92.9586
25,-185.0006,115,94.0607
26,-136.3390,95,94.1076
27,-25.5087,105,94.6523
28,-107.6584,68,93.3196
29,-94.5007,95,93.4037
30,-99.1702,81,92.7835
31,-286.3502,91,92.6943
32,-149.1280,114,93.7596
33,-326.7053,82,93.1716
34,-99.4732,72,92.1130
35,-82.3215,78,91.4074
36,-146.5222,98,91.7370
37,-207.7937,68,90.5502
38,-75.0289,80,90.0227
39,-156.9006,118,91.4215
40,-78.5483,56,89.6504
41,-173.2762,84,89.3679
42,-125.6235,80,88.8995
43,-243.4468,108,89.8545
44,-137.8812,78,89.2618
45,6.0137,75,88.5487
46,-95.7058,75,87.8713
47,-111.0733,79,87.4277
48,-149.4174,106,88.3563
49,-110.6462,110,89.4385
50,-323.6508,117,90.8166
51,-33.0113,113,91.9258
52,-100.6481,66,90.6295
53,-118.0942,91,90.6480
54,-93.4782,90,90.6156
55,-78.2414,113,91.7348
56,-92.1193,88,91.5481
57,-60.1161,85,91.2207
58,-236.7860,114,92.3596
59,-38.0352,65,90.9917
60,-174.2062,89,90.8921
61,-94.1662,118,92.2475
62,-192.4593,130,94.1351
63,-73.2689,88,93.8283
64,-78.8729,83,93.2869
65,-175.6660,72,92.2226
66,-45.2922,61,90.6615
67,-86.1766,71,89.6784
68,-102.8416,109,90.6445
