UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.4205,-0.0285,0.9256,1.3780
2,45,0.4158,0.0370,0.7850,1.3722
3,66,0.4022,-0.0094,0.8505,1.3619
4,87,0.3155,0.0236,0.6109,1.3489
5,103,0.2465,0.0101,0.4989,1.3008
6,114,0.4617,-0.5720,2.0937,1.3091
7,125,0.2633,-0.2147,0.9819,1.3004
8,140,0.3681,-0.0320,0.8260,1.2981
9,155,0.3496,0.0761,0.5727,1.2889
10,172,0.3388,0.0145,0.6743,1.2859
11,189,0.3183,0.0492,0.5633,1.2562
12,204,0.2442,-0.0272,0.5676,1.2409
13,207,0.2692,-0.2252,1.0134,1.2363
14,214,0.4659,0.0771,0.8031,1.2705
15,226,0.4254,0.0932,0.6882,1.1899
16,233,0.2294,-0.0962,0.6751,1.2006
17,243,0.2560,0.0360,0.4634,1.1682
18,247,0.2274,-0.1757,0.8294,1.1620
19,250,0.4652,0.0864,0.7833,1.2791
20,255,0.3814,0.0583,0.6700,1.1853
21,259,0.4277,-0.0365,0.9526,1.2077
22,265,0.2991,0.0173,0.5867,1.1555
23,273,0.3155,0.1534,0.3481,1.1940
24,277,0.0615,-0.7575,1.6620,1.2021
25,280,0.1734,-0.1621,0.6961,1.2599
26,284,0.3466,0.0540,0.6094,1.2094
27,290,0.3219,0.0006,0.6659,1.1571
28,292,0.0317,-0.2900,0.6679,1.2275
29,294,0.1526,-0.0132,0.3566,1.2530
30,298,0.6683,0.1910,0.9785,1.1911
31,301,0.1309,-0.1662,0.6176,1.1659
32,303,0.2785,-0.0557,0.6925,1.2072
33,306,0.5655,0.1832,0.7880,1.1621
34,312,0.4102,0.0167,0.8096,1.1211
35,314,0.1030,-0.1720,0.5735,1.1760
36,317,0.3609,0.1463,0.4512,1.1075
37,319,0.0623,-0.1507,0.4477,1.0918
38,322,0.3858,0.0689,0.6556,1.0960
39,324,0.4644,0.0757,0.7987,1.0623
40,326,0.5120,-0.0308,1.1080,1.1171
41,330,0.2676,0.0321,0.4928,1.0958
42,332,0.1531,-0.2227,0.7735,1.0997
43,335,0.7664,-0.0919,1.7384,1.0958
44,338,0.6647,0.2430,0.8652,1.0947
45,340,0.2067,-0.1428,0.7209,1.0969
46,342,0.3219,0.0244,0.6170,1.0992
47,344,0.2228,-0.0426,0.5527,1.0965
48,346,0.1225,-0.0745,0.4158,1.0983
49,348,0.2168,-0.0074,0.4713,1.1385
50,350,0.2052,-0.0059,0.4445,1.1152
51,352,0.1365,-0.0182,0.3322,1.1384
52,354,0.1653,0.0061,0.3409,1.1141
53,356,0.1082,0.0062,0.2257,1.0896
54,359,0.6482,0.0276,1.2623,1.0526
55,361,0.1683,-0.0716,0.5015,1.0861
56,365,1.1000,0.4352,1.3518,1.1088
57,367,0.0280,-0.1921,0.4618,1.0771
58,369,0.1473,0.0168,0.2832,1.1071
59,372,1.0264,0.4511,1.1727,1.1095
60,377,1.1187,0.4848,1.2895,1.0854
61,383,0.5800,0.1496,0.8818,1.0448
62,386,0.2957,-0.0969,0.8066,1.0709
63,389,0.1787,-0.1034,0.5865,1.1061
64,392,0.3884,0.0558,0.6882,1.1401
65,394,0.2103,-0.0258,0.4940,1.0908
66,397,0.2702,0.0397,0.4832,1.1185
67,399,-0.0928,-0.2054,0.2481,1.1479
68,402,0.5713,0.1530,0.8591,1.1246
69,406,0.5941,0.2526,0.7053,1.1158
70,409,0.1784,-0.1177,0.6148,1.1355
71,413,0.1839,-0.0211,0.4318,1.0914
72,415,0.4566,0.1337,0.6674,1.0795
73,417,0.0884,-0.1564,0.5111,1.0754
74,419,0.2783,0.0238,0.5304,1.0777
75,421,0.1115,-0.0715,0.3874,1.0632
76,423,0.5771,0.0752,1.0238,1.0021
77,426,0.3892,0.1233,0.5517,0.9990
78,428,0.2392,-0.0690,0.6367,1.0063
79,430,0.1285,-0.2339,0.7450,1.0009
