Episode,Reward,Length,SmoothedLengthEMA
1,-232.3252,83,83.0000
2,-443.0571,88,83.2500
3,-32.8579,107,84.4375
4,-101.5471,58,83.1156
5,-121.5418,108,84.3598
6,-140.9942,86,84.4419
7,-147.2711,104,85.4198
8,-106.5166,71,84.6988
9,-247.0981,120,86.4638
10,-73.3338,63,85.2906
11,-226.4213,84,85.2261
12,-145.3433,76,84.7648
13,-290.6226,91,85.0766
14,-167.7530,61,83.8727
15,-129.8520,118,85.5791
16,-328.8834,86,85.6001
17,-172.8414,96,86.1201
18,1.5212,112,87.4141
19,-104.0178,106,88.3434
20,-127.8547,80,87.9263
21,-228.0021,82,87.6299
22,-101.8296,66,86.5484
23,-197.0035,96,87.0210
24,-218.2036,101,87.7200
25,-154.8474,115,89.0840
26,-103.1199,97,89.4798
27,-212.1927,116,90.8058
28,-373.9866,68,89.6655
29,-320.5796,109,90.6322
30,-129.2790,91,90.6506
31,-156.7823,128,92.5181
32,-77.7068,116,93.6922
33,-188.8735,61,92.0576
34,-323.2634,81,91.5047
35,-349.9495,100,91.9295
36,-113.3473,110,92.8330
37,-171.8382,55,90.9413
38,-129.5301,75,90.1443
39,-174.6481,121,91.6871
40,-155.2316,54,89.8027
41,-97.9338,71,88.8626
42,-123.8857,73,88.0694
43,-200.0023,121,89.7160
44,-123.6474,82,89.3302
45,-188.8170,63,88.0137
46,-101.8848,71,87.1630
47,-215.2476,82,86.9048
48,-86.6425,108,87.9596
49,-304.0386,110,89.0616
50,-94.5222,77,88.4585
51,-79.9333,106,89.3356
52,-41.7776,70,88.3688
53,-141.8785,107,89.3004
54,-134.6799,86,89.1354
55,-92.1256,111,90.2286
56,-66.3846,90,90.2172
57,-128.1898,80,89.7063
58,-139.8749,103,90.3710
59,-45.3738,66,89.1524
60,-136.0571,85,88.9448
61,-111.5538,121,90.5476
62,-140.3705,134,92.7202
63,-92.5473,70,91.5842
64,-104.0975,85,91.2550
65,-84.6556,64,89.8922
66,-102.5827,63,88.5476
67,-114.5965,77,87.9702
68,-200.5432,96,88.3717
69,-161.6596,85,88.2031
70,-269.2830,91,88.3430
71,-187.9184,69,87.3758
72,-71.7427,72,86.6070
73,-91.3057,64,85.4767
74,-251.1860,145,88.4529
75,-141.0276,116,89.8302
76,-356.8065,112,90.9387
77,-282.0898,110,91.8918
78,-161.1198,68,90.6972
79,-194.2344,102,91.2623
80,-77.9077,65,89.9492
81,-81.6310,76,89.2517
82,-108.4952,78,88.6892
83,-278.7694,111,89.8047
84,-157.2353,105,90.5645
85,-333.2392,92,90.6362
86,-107.7447,120,92.1044
87,-309.7775,91,92.0492
88,-82.1604,62,90.5467
89,-79.6971,69,89.4694
90,-207.9226,112,90.5959
91,-134.9647,91,90.6161
92,-111.1705,85,90.3353
93,-300.2910,100,90.8186
94,-198.2600,98,91.1776
95,-103.8314,95,91.3688
96,-72.2497,79,90.7503
97,-221.3693,130,92.7128
98,-110.6094,77,91.9272
99,-145.6707,121,93.3808
100,-325.5640,122,94.8118
101,-96.6834,110,95.5712
102,-86.9636,61,93.8426
103,-200.5034,98,94.0505
104,-166.6250,92,93.9480
105,-40.5242,67,92.6006
106,-89.7895,79,91.9205
107,-318.4536,115,93.0745
108,-345.8173,124,94.6208
109,-233.8822,76,93.6897
110,-129.3194,123,95.1553
111,-200.3586,126,96.6975
112,-91.8501,92,96.4626
113,-122.5883,64,94.8395
114,-216.5753,157,97.9475
115,-99.7782,111,98.6001
116,-46.6834,72,97.2701
117,-178.7311,91,96.9566
118,-225.3424,123,98.2588
