UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.5060,0.0170,1.0056,1.3793
2,45,0.3638,-0.0407,0.8364,1.3779
3,67,0.4715,0.0399,0.8906,1.3750
4,89,0.4136,0.0060,0.8424,1.3639
5,110,0.4449,0.0371,0.8427,1.3613
6,130,0.3711,-0.0043,0.7779,1.3569
7,149,0.3174,0.0071,0.6477,1.3544
8,170,0.4494,0.0062,0.9132,1.3481
9,190,0.2952,-0.0013,0.6196,1.3334
10,208,0.3678,-0.0246,0.8107,1.3015
11,226,0.4320,0.0831,0.7240,1.3104
12,243,0.2839,-0.0371,0.6679,1.2961
13,260,0.3250,0.0046,0.6663,1.2825
14,271,0.2665,-0.2214,1.0018,1.2969
15,287,0.4271,0.0674,0.7449,1.2788
16,296,0.3006,-0.2599,1.1467,1.2901
17,314,0.3271,0.0243,0.6308,1.2524
18,331,0.3530,0.0540,0.6222,1.2126
19,344,0.2389,0.0084,0.4845,1.1748
20,353,0.2659,0.0168,0.5212,1.1488
21,362,0.3163,0.0636,0.5278,1.1301
22,371,0.1863,-0.1438,0.6838,1.1729
23,384,0.2892,-0.0031,0.6083,1.1886
24,394,0.3038,0.0286,0.5739,1.1775
25,400,0.2912,-0.0805,0.7674,1.2036
26,410,0.2868,0.0927,0.4107,1.1251
27,414,0.1393,-0.1806,0.6630,1.1587
28,420,0.1838,-0.0331,0.4571,1.1580
29,422,0.1645,-0.2084,0.7704,1.2318
30,429,0.9178,0.4313,0.9976,1.2281
31,443,0.7702,0.4400,0.6839,1.1772
32,455,0.2034,0.0234,0.3830,1.1520
33,457,-0.0171,-0.4694,0.9291,1.2255
34,463,0.3445,-0.0025,0.7175,1.1686
35,470,0.2299,0.0063,0.4714,1.2053
36,482,0.3249,0.1544,0.3646,1.1710
37,495,0.3718,0.1536,0.4589,1.1262
38,500,0.0911,-0.3402,0.8862,1.1783
39,512,0.1852,-0.0259,0.4446,1.1175
40,523,0.3090,0.1192,0.4017,1.1035
41,530,0.1708,-0.2301,0.8242,1.1243
42,537,0.2407,-0.0314,0.5668,1.1349
43,540,0.3730,0.0349,0.7002,1.2050
44,542,0.1152,-0.3371,0.9289,1.2192
45,549,0.4182,0.1885,0.4826,1.1557
46,553,0.3319,-0.0269,0.7410,1.1745
47,557,0.2152,-0.0679,0.5897,1.1727
48,560,0.2547,-0.0163,0.5660,1.2075
49,563,0.2897,-0.0825,0.7679,1.1727
50,567,0.3475,0.0296,0.6596,1.1828
51,573,0.3930,0.0402,0.7277,1.0987
52,576,0.2665,-0.0161,0.5889,1.1874
53,583,0.3527,0.1333,0.4604,1.0792
54,585,0.1596,-0.2951,0.9326,1.1583
55,587,0.4151,-0.0660,0.9854,1.1614
56,589,0.1751,-0.1733,0.7199,1.1511
57,591,0.1870,-0.0756,0.5485,1.1666
58,594,0.3929,-0.0143,0.8372,1.1349
59,597,0.2524,-0.0254,0.5777,1.1096
60,599,0.3731,0.0791,0.6102,1.1095
61,603,0.3938,-0.0647,0.9392,1.1092
62,605,0.2571,-0.0673,0.6721,1.1625
63,607,0.3192,0.0388,0.5831,1.1098
64,610,0.4707,0.1172,0.7294,1.1179
65,613,0.3453,0.0761,0.5608,1.1269
66,615,0.2921,-0.1097,0.8262,1.1250
67,617,0.4733,0.1504,0.6681,1.1160
68,619,0.1643,-0.0713,0.4939,1.1380
69,622,0.3684,-0.0893,0.9372,1.0952
70,626,0.6346,0.2735,0.7439,1.0927
71,628,0.3139,0.0146,0.6210,1.1212
72,630,0.1105,-0.1896,0.6221,1.1032
73,634,0.5971,0.0993,1.0163,1.0353
74,636,0.4387,0.0537,0.7906,1.0394
75,639,0.5912,0.0499,1.1028,1.0050
76,641,0.4757,0.0753,0.8216,1.0350
77,643,0.3834,-0.0559,0.9002,1.0768
78,645,0.2452,-0.0386,0.5887,1.0529
79,647,0.1354,-0.0877,0.4675,1.0655
80,650,0.6133,0.1777,0.8931,1.0956
81,654,0.3437,0.0324,0.6434,1.0438
82,656,0.0638,-0.2165,0.5827,1.1016
83,658,0.6005,0.2222,0.7779,1.0665
84,661,0.3112,0.0670,0.5093,1.0331
85,663,0.1357,-0.1223,0.5371,1.0527
86,665,0.2053,-0.0187,0.4692,1.0683
87,667,0.1993,-0.3093,1.0378,1.0253
88,671,0.5221,0.0816,0.9007,0.9826
89,674,0.4063,0.0636,0.7052,0.9829
90,677,0.5007,0.0703,0.8794,0.9354
91,679,0.1492,-0.1480,0.6130,0.9378
92,681,0.4522,0.0960,0.7304,0.9041
93,683,0.1633,-0.0810,0.5073,0.9362
94,686,0.4412,0.0745,0.7524,0.9467
95,688,0.2230,-0.1064,0.6769,0.9056
96,690,0.2179,-0.0462,0.5474,0.9625
97,692,0.1849,-0.0358,0.4611,0.9944
98,694,0.1946,-0.0319,0.4733,1.0180
99,696,0.4663,0.0041,0.9462,1.0828
100,699,0.6716,0.2580,0.8469,0.9829
101,701,0.2869,-0.0654,0.7243,0.9814
102,704,0.4377,0.0612,0.7728,0.9913
103,706,0.1490,-0.0690,0.4550,0.9438
104,709,0.5146,0.0514,0.9451,0.9372
105,715,0.7918,0.4351,0.7330,0.9806
106,719,0.4528,0.0315,0.8614,0.9362
107,723,0.4219,0.0256,0.8090,0.8278
108,727,0.3762,-0.0031,0.7765,0.8861
109,731,0.3179,0.0170,0.6180,0.8073
110,737,0.3701,-0.0089,0.7772,0.9659
111,742,0.7766,0.3142,0.9424,0.8766
112,747,0.3966,-0.0194,0.8495,0.8717
113,754,0.3741,-0.0511,0.8694,0.9447
114,758,0.5766,0.0739,1.0217,0.8104
115,762,0.4561,0.0088,0.9108,0.8092
116,768,0.3013,-0.0325,0.6867,0.9587
117,774,0.2703,0.0019,0.5554,0.9292
118,779,0.6141,0.1642,0.9149,0.7525
119,784,0.0857,-0.3358,0.8604,0.8725
120,789,0.4070,-0.0878,1.0058,0.8070
121,794,0.5460,0.1786,0.7523,0.8729
122,801,0.2237,-0.0663,0.5958,0.7930
123,806,0.2466,-0.0932,0.6975,0.8961
124,810,0.4622,0.0397,0.8604,0.7632
125,817,0.4157,0.0998,0.6488,0.8579
126,822,0.3986,0.0373,0.7400,0.8702
127,828,0.2814,-0.0395,0.6576,0.7930
128,834,0.2033,-0.0685,0.5605,0.8386
