UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.3237,-0.1371,0.9490,1.3707
2,44,0.3614,-0.0882,0.9267,1.3800
3,68,0.5070,0.0134,1.0148,1.3784
4,91,0.5507,0.0400,1.0488,1.3728
5,113,0.5427,0.0589,0.9950,1.3691
6,136,0.4576,0.0070,0.9285,1.3614
7,157,0.3818,-0.0388,0.8683,1.3533
8,178,0.3792,-0.0112,0.8082,1.3653
9,202,0.3650,-0.0046,0.7665,1.3643
10,214,0.4039,-0.2116,1.2583,1.3695
11,235,0.4420,0.0422,0.8268,1.3574
12,255,0.4224,0.0373,0.7973,1.3526
13,275,0.3761,0.0018,0.7750,1.3115
14,292,0.3500,0.0303,0.6651,1.2925
15,306,0.3916,0.0512,0.7064,1.2818
16,323,0.3444,0.0276,0.6590,1.2691
17,341,0.2971,-0.0090,0.6378,1.2702
18,358,0.3174,0.0099,0.6405,1.2722
19,375,0.2678,0.0072,0.5466,1.2783
20,390,0.3487,0.0530,0.6161,1.2390
21,398,0.2406,-0.1176,0.7407,1.2184
22,408,0.2535,-0.0561,0.6426,1.1678
23,415,0.4037,-0.1408,1.1131,1.2102
24,426,0.3612,-0.0058,0.7586,1.2345
25,435,0.3441,-0.1000,0.9137,1.2697
26,449,0.4820,0.1371,0.7144,1.2260
27,463,0.2442,-0.0189,0.5489,1.1349
28,470,0.4110,-0.0560,0.9575,1.1684
29,477,0.3835,-0.0620,0.9144,1.1733
30,484,0.3037,-0.0890,0.8092,1.1853
31,489,0.3151,-0.1441,0.9431,1.2373
32,494,0.3868,0.0305,0.7377,1.2515
33,504,0.4814,0.1259,0.7349,1.1932
34,506,0.0665,-0.3187,0.7961,1.2810
35,514,0.5024,0.1333,0.7623,1.2026
36,524,0.3770,0.1124,0.5521,1.1344
37,530,0.2553,-0.1259,0.7863,1.2030
38,540,0.4704,0.0364,0.8917,1.1897
39,547,0.3726,0.0440,0.6808,1.1720
40,555,0.3262,-0.0140,0.7031,1.1426
41,561,0.3509,-0.0395,0.8046,1.1906
42,567,0.2882,-0.0186,0.6366,1.1557
43,574,0.2865,-0.0777,0.7508,1.1199
44,579,0.3730,0.0351,0.6986,1.1465
45,585,0.3757,0.0288,0.7172,1.1656
46,594,0.2631,-0.1312,0.8116,1.1499
47,602,0.3692,0.0819,0.5977,1.1532
48,610,0.3326,0.0740,0.5393,1.1134
49,623,0.1992,-0.0298,0.4800,1.1045
50,629,0.3131,0.0394,0.5689,1.0847
51,634,0.2197,-0.0872,0.6369,1.1569
52,639,0.3280,-0.1268,0.9328,1.1608
53,646,0.4073,0.0802,0.6776,1.1712
54,654,0.2869,-0.0043,0.6051,1.1371
55,657,0.3473,-0.0273,0.7723,1.1575
56,670,0.5296,0.3188,0.4438,1.1169
57,678,0.2445,-0.0056,0.5222,1.0917
58,681,0.1979,-0.2177,0.8522,1.0540
59,684,0.2612,-0.1267,0.7965,1.0306
60,689,0.3515,0.0746,0.5742,1.0151
61,697,0.5864,0.2542,0.6861,1.0851
62,710,0.4229,0.2156,0.4361,1.0752
63,715,0.0341,-0.2023,0.4944,1.0823
64,720,0.1828,-0.0579,0.5033,1.0930
65,723,0.3317,-0.0615,0.8079,1.0720
66,726,0.2680,-0.1452,0.8474,1.0516
67,730,0.2295,-0.0599,0.5988,1.0029
68,738,0.5573,0.2544,0.6260,1.0146
69,740,0.2714,-0.1271,0.8173,1.0140
70,748,0.4477,0.1020,0.7133,1.0847
71,756,0.2456,-0.1223,0.7567,1.0524
72,764,0.3604,0.1025,0.5361,1.0218
73,771,0.3623,0.0822,0.5808,1.0314
74,773,-0.0019,-0.4000,0.8176,1.0660
75,775,0.0898,-0.1634,0.5273,1.0484
76,780,0.5666,0.1265,0.9011,1.0444
77,787,0.3219,0.1057,0.4521,0.9885
78,789,0.1841,-0.1222,0.6328,1.0066
79,791,0.3949,-0.1183,1.0475,1.0567
80,795,0.4452,0.1114,0.6883,1.0386
81,797,0.1671,-0.0757,0.5052,0.9780
82,799,0.2691,-0.0518,0.6623,1.0235
83,803,0.6707,0.2871,0.7887,1.0642
84,805,0.1700,-0.1453,0.6516,1.0529
85,808,0.2440,-0.0882,0.6857,1.0723
86,810,0.2333,-0.0090,0.5064,1.0852
87,814,0.4126,0.1165,0.6131,1.0474
88,817,0.3029,-0.0259,0.6792,1.0790
89,820,0.1352,-0.1577,0.6071,1.0658
90,823,0.4491,0.1182,0.6830,1.0574
91,826,0.3596,-0.0071,0.7548,1.0727
92,830,0.3297,-0.0550,0.7899,1.0340
93,832,0.3186,0.0171,0.6246,1.0770
94,834,0.2618,-0.0564,0.6578,1.0668
95,837,0.2915,-0.1242,0.8521,1.0359
96,839,0.2367,-0.0077,0.5090,1.0156
97,842,0.3509,0.0558,0.6106,1.0092
98,845,0.2655,-0.0614,0.6741,1.0160
99,848,0.4026,0.0381,0.7491,1.0109
100,851,0.4273,0.1589,0.5567,0.9927
101,854,0.1479,-0.0422,0.3991,0.9430
102,856,-0.1024,-0.3395,0.4928,0.9302
103,858,0.0609,-0.1309,0.4022,0.9395
104,862,0.3596,0.0870,0.5636,0.9210
105,866,0.4181,0.0862,0.6816,0.8886
106,869,0.3261,0.0440,0.5819,0.8838
107,872,0.3776,0.0277,0.7188,0.9516
108,874,0.1480,-0.0911,0.4972,0.9528
109,877,0.3544,-0.0131,0.7539,0.9416
110,882,0.4071,0.1623,0.5083,0.9408
111,885,0.2086,-0.0832,0.6023,0.9306
112,887,0.4507,0.0639,0.7931,0.9725
113,889,0.0826,-0.1078,0.3982,0.8705
114,894,0.5499,0.1537,0.8093,0.8467
115,897,0.2955,-0.0414,0.6897,0.8021
116,899,0.3507,-0.0097,0.7386,0.8879
117,901,0.0740,-0.1896,0.5453,0.9010
118,903,0.4612,0.0359,0.8697,0.9523
119,906,0.3326,0.0705,0.5425,0.9142
120,908,0.2589,-0.0485,0.6334,0.9415
121,910,0.2507,-0.0356,0.5907,0.9145
122,916,0.7147,0.3110,0.8260,0.9301
123,922,0.4933,0.1765,0.6511,0.8800
124,926,0.3799,0.0010,0.7752,0.8680
125,929,0.4211,0.0262,0.8055,0.7897
126,934,0.7008,0.2379,0.9423,0.8245
127,938,0.4496,0.0209,0.8700,0.6273
128,942,0.5300,0.0216,1.0326,0.7833
129,948,0.3519,-0.0932,0.9066,0.8197
130,954,0.5415,0.0965,0.9062,0.8092
131,960,0.4666,0.0399,0.8695,0.8049
132,969,0.3053,-0.0142,0.6572,0.9049
133,976,0.5739,0.0590,1.0447,0.7444
134,983,0.4126,-0.0168,0.8752,0.8309
135,989,0.5627,0.0918,0.9578,0.8079
136,998,0.2924,-0.0655,0.7325,0.8351
137,1006,0.3836,-0.0099,0.8028,0.7901
138,1011,0.4077,-0.0512,0.9328,0.7449
139,1018,0.1891,-0.0524,0.5001,0.8562
140,1025,0.4965,0.1253,0.7601,0.8889
141,1032,0.5255,0.1338,0.7985,0.7557
142,1038,0.4296,0.0314,0.8108,0.7252
143,1044,0.4686,-0.0012,0.9552,0.7714
144,1050,0.3147,-0.0989,0.8439,0.8337
145,1057,0.2990,-0.0499,0.7142,0.8188
146,1064,0.5285,0.0876,0.8972,0.7790
147,1072,0.4501,0.0490,0.8186,0.8197
148,1079,0.4089,-0.0102,0.8541,0.7987
149,1085,0.4244,-0.0663,0.9956,0.7055
150,1094,0.2143,-0.0674,0.5794,0.7993
151,1103,0.3474,0.0499,0.6115,0.8239
152,1111,0.4752,0.0778,0.8099,0.7608
153,1119,0.4241,0.0187,0.8259,0.7561
154,1126,0.2981,-0.0658,0.7428,0.7560
155,1132,0.3193,-0.0904,0.8352,0.7877
156,1140,0.4229,0.0501,0.7621,0.8212
157,1146,0.3729,0.0287,0.7057,0.8625
158,1153,0.5960,0.1418,0.9228,0.7216
159,1160,0.1910,-0.1419,0.6792,0.6739
160,1169,0.3633,0.0434,0.6559,0.8107
161,1174,0.1218,-0.3010,0.8627,0.8560
162,1182,0.3928,-0.0121,0.8240,0.7159
163,1186,0.7624,0.2515,1.0339,0.6058
164,1193,0.4612,0.0438,0.8500,0.7615
165,1199,0.1199,-0.0942,0.4441,0.7987
166,1204,0.3163,0.0039,0.6415,0.8313
167,1208,0.1868,-0.1107,0.6105,0.7763
168,1216,0.7971,0.3513,0.9083,0.8285
169,1222,0.8269,0.2491,1.1682,0.6233
170,1229,0.4144,0.0250,0.7940,0.7594
171,1236,0.1148,-0.2941,0.8333,0.7766
172,1243,0.3647,-0.0056,0.7542,0.6843
173,1250,0.4287,0.0994,0.6731,0.7200
174,1259,0.4227,0.0521,0.7558,0.7360
175,1269,0.3736,-0.0307,0.8245,0.7945
176,1277,0.3665,-0.0063,0.7596,0.7049
177,1283,0.2267,-0.1959,0.8595,0.7213
178,1290,0.3703,0.0359,0.6825,0.6800
179,1296,0.5538,0.1653,0.7905,0.6749
180,1305,0.5586,0.1077,0.9168,0.7462
181,1313,0.3060,-0.0707,0.7672,0.6877
182,1320,0.0604,-0.1562,0.4471,0.6997
183,1328,0.4584,0.1067,0.7177,0.7166
184,1334,0.5091,-0.0303,1.0901,0.5632
185,1340,0.3334,-0.0192,0.7202,0.7412
186,1347,0.1752,-0.1054,0.5755,0.7155
187,1354,0.5794,0.1801,0.8135,0.7438
188,1361,0.4039,0.0680,0.6857,0.6975
189,1371,0.2710,-0.0615,0.6799,0.7465
190,1381,0.3435,-0.0248,0.7507,0.6998
191,1389,0.3954,0.0206,0.7644,0.7377
192,1396,0.4943,0.1063,0.7914,0.7730
193,1404,0.3497,-0.0610,0.8354,0.7050
194,1410,0.1691,-0.1532,0.6586,0.6966
195,1415,0.1824,-0.0841,0.5461,0.6574
196,1423,0.4113,0.0986,0.6391,0.6915
197,1429,0.4573,0.0657,0.7982,0.7503
198,1437,0.4610,0.0347,0.8690,0.8187
199,1444,0.4530,0.0524,0.8157,0.7244
200,1451,0.3398,-0.0316,0.7573,0.7245
201,1459,0.3837,-0.0131,0.8073,0.6785
202,1468,0.4714,0.0992,0.7598,0.7726
203,1476,0.3637,0.0039,0.7355,0.7938
204,1485,0.4319,0.0373,0.8022,0.6478
205,1493,0.3413,-0.0653,0.8270,0.6869
206,1501,0.2615,-0.0972,0.7331,0.7796
207,1509,0.3463,0.0011,0.7050,0.7368
208,1516,0.4389,0.0187,0.8539,0.6740
209,1523,0.4858,0.0921,0.8003,0.6418
210,1532,0.4213,0.0537,0.7498,0.7270
211,1539,0.1810,-0.1838,0.7421,0.6228
212,1548,0.4921,0.1189,0.7613,0.7510
213,1558,0.3532,0.0326,0.6565,0.7582
214,1568,0.4639,0.0646,0.8111,0.6324
215,1576,0.3667,-0.0209,0.7889,0.6802
216,1583,0.2678,-0.1131,0.7775,0.7842
217,1591,0.5706,0.1556,0.8441,0.6986
218,1599,0.4448,0.0381,0.8277,0.7117
219,1608,0.2849,-0.0808,0.7467,0.7647
220,1616,0.2821,-0.0512,0.6808,0.7065
221,1625,0.4603,0.0734,0.7875,0.6925
222,1633,0.3892,0.0096,0.7727,0.6700
223,1641,0.1779,-0.1669,0.7042,0.7265
224,1650,0.3017,0.0268,0.5637,0.6942
225,1657,0.3876,0.0636,0.6620,0.6975
226,1665,0.2917,-0.0678,0.7325,0.6823
227,1673,0.4964,0.1052,0.7948,0.6227
228,1682,0.2382,-0.0878,0.6674,0.7636
229,1690,0.3907,0.0545,0.6884,0.8032
230,1697,0.2122,-0.0707,0.5779,0.6118
231,1705,0.1848,-0.0146,0.4120,0.6597
232,1714,0.3621,-0.0021,0.7427,0.7118
233,1723,0.4086,0.0668,0.6978,0.7041
234,1732,0.3961,-0.0235,0.8524,0.6647
235,1742,0.3531,0.0636,0.5930,0.7061
236,1751,0.3280,-0.0377,0.7440,0.6266
237,1759,0.3103,-0.0619,0.7553,0.5463
238,1767,0.1462,-0.2121,0.7281,0.5829
239,1776,0.6143,0.1892,0.8633,0.6534
240,1785,0.4403,0.1004,0.6936,0.6910
241,1795,0.2342,-0.1059,0.6923,0.6039
242,1803,0.2942,-0.0053,0.6102,0.5622
243,1812,0.3069,-0.0257,0.6774,0.6029
244,1820,0.3054,-0.0242,0.6709,0.5789
245,1829,0.4260,0.0362,0.7919,0.6178
246,1837,0.0639,-0.1807,0.5022,0.6484
247,1846,0.4088,0.1119,0.6070,0.6631
248,1855,0.4194,0.0190,0.8123,0.5665
249,1864,0.3907,0.0604,0.6741,0.6790
250,1873,0.2456,-0.0847,0.6723,0.5875
251,1883,0.3849,0.0462,0.6886,0.5601
252,1891,0.2770,-0.0358,0.6382,0.6327
253,1901,0.3794,0.0239,0.7250,0.7030
254,1908,0.1572,-0.1645,0.6566,0.6609
255,1915,0.2817,-0.0424,0.6603,0.5988
256,1924,0.6402,0.2612,0.7722,0.7146
257,1932,0.1260,-0.1450,0.5549,0.6462
258,1941,0.6154,0.2231,0.7973,0.6379
259,1948,0.0581,-0.2196,0.5682,0.6412
260,1956,0.4596,0.1073,0.7162,0.5786
261,1965,0.4275,0.0845,0.6991,0.6480
262,1976,0.3773,0.0223,0.7234,0.6629
263,1986,0.3794,0.0135,0.7435,0.5852
264,1995,0.2753,-0.1037,0.7697,0.5893
265,2004,0.2874,-0.0205,0.6287,0.6510
266,2012,0.3860,0.0740,0.6374,0.6669
267,2019,0.0836,-0.2061,0.5926,0.6600
268,2029,0.4220,0.0667,0.7228,0.6026
269,2038,0.5776,0.2324,0.7030,0.6293
270,2048,0.3740,0.0579,0.6446,0.6172
271,2054,-0.0667,-0.5323,0.9442,0.6477
272,2061,0.3851,0.0163,0.7487,0.5549
273,2069,0.2334,0.0018,0.4774,0.7128
274,2077,0.2244,-0.0341,0.5286,0.5874
275,2084,0.0368,-0.2227,0.5305,0.5768
276,2092,0.3983,0.0631,0.6837,0.6664
277,2102,0.5938,0.2181,0.7643,0.6423
278,2111,0.2099,0.0200,0.3945,0.7330
279,2117,-0.1017,-0.2839,0.3786,0.7141
280,2125,0.3140,0.0745,0.4923,0.6703
281,2132,0.3478,0.0504,0.6082,0.6717
282,2141,0.3732,0.0048,0.7489,0.6079
283,2150,0.4910,0.1212,0.7526,0.6452
284,2160,0.3682,0.0324,0.6838,0.6156
285,2168,0.1801,-0.1609,0.6936,0.5838
286,2174,0.2730,-0.0789,0.7167,0.6522
287,2182,0.3854,0.0436,0.6964,0.6320
288,2189,0.3676,0.0503,0.6469,0.6166
289,2197,0.2296,-0.0492,0.5712,0.6752
290,2207,0.3357,0.0166,0.6520,0.6920
291,2216,0.1262,-0.0600,0.3856,0.6574
292,2224,0.4038,0.1080,0.6057,0.7054
293,2231,0.1715,-0.1292,0.6140,0.6271
294,2240,0.3557,0.0333,0.6582,0.6649
295,2248,0.4645,0.1343,0.6736,0.6574
296,2256,0.1759,-0.1780,0.7208,0.6539
297,2265,0.3705,0.1050,0.5461,0.7577
298,2271,0.4251,-0.0539,0.9691,0.5577
299,2279,0.3065,0.0392,0.5463,0.5821
300,2287,0.1038,-0.0939,0.4081,0.6358
301,2296,0.4759,0.1089,0.7460,0.6006
302,2305,0.4565,0.1308,0.6646,0.6604
303,2313,0.2238,-0.0513,0.5630,0.6359
304,2319,0.2059,-0.2030,0.8295,0.5825
305,2327,0.3000,0.0038,0.6052,0.6428
306,2335,0.4025,0.0380,0.7440,0.7449
307,2344,0.5459,0.1652,0.7758,0.7228
308,2353,0.3370,0.0208,0.6448,0.6174
309,2361,0.2207,-0.0609,0.5741,0.5471
310,2369,0.2212,-0.1155,0.6863,0.6444
311,2377,0.1851,-0.0726,0.5278,0.6193
312,2385,0.4239,0.1152,0.6287,0.5741
313,2392,0.2122,-0.1206,0.6766,0.5458
314,2399,0.3089,0.0659,0.4970,0.5480
315,2407,0.1717,-0.0347,0.4249,0.6030
316,2415,0.4779,0.0867,0.7935,0.5605
317,2422,0.3091,-0.1092,0.8470,0.5231
318,2432,0.5312,0.1360,0.8017,0.5584
319,2442,0.4912,0.1108,0.7728,0.5903
320,2451,0.2688,-0.0366,0.6224,0.5769
321,2460,0.2752,-0.0956,0.7545,0.6446
322,2468,0.1731,-0.1082,0.5761,0.6798
323,2476,0.1682,-0.1359,0.6194,0.5622
324,2485,0.6005,0.2313,0.7521,0.6858
325,2493,0.4205,0.0574,0.7375,0.5661
326,2500,0.1482,-0.1906,0.6887,0.5547
327,2509,0.5432,0.1764,0.7449,0.5707
328,2517,0.2855,-0.0546,0.6920,0.5986
329,2526,0.2182,-0.0351,0.5201,0.6783
330,2534,0.2940,0.0171,0.5652,0.5624
331,2545,0.3673,0.0290,0.6897,0.6544
332,2553,0.2259,-0.0956,0.6540,0.5509
333,2561,0.4394,0.0387,0.8130,0.5740
334,2569,0.2832,0.0163,0.5466,0.6356
335,2577,0.2666,-0.0274,0.6001,0.6059
336,2585,0.3607,0.0042,0.7244,0.5757
337,2594,0.4105,0.1098,0.6136,0.6064
338,2601,0.1832,-0.0669,0.5127,0.6277
339,2611,0.4827,0.1153,0.7472,0.6202
340,2621,0.3924,0.0454,0.7058,0.5837
341,2629,0.2076,-0.0843,0.5959,0.6088
342,2637,0.2469,-0.0187,0.5429,0.5774
343,2647,0.4760,0.0619,0.8389,0.5301
344,2656,0.2353,-0.0747,0.6306,0.5320
345,2665,0.2582,0.0113,0.5058,0.5909
346,2671,-0.0158,-0.2496,0.4806,0.6500
347,2680,0.2846,0.0240,0.5329,0.5787
