Episode,Reward,Length,SmoothedLengthEMA
1,-144.1201,85,85.0000
2,-305.0474,102,85.8500
3,-163.8122,82,85.6575
4,-104.2553,64,84.5746
5,-182.2507,105,85.5959
6,-150.9550,70,84.8161
7,-300.7934,98,85.4753
8,-120.6926,71,84.7515
9,-335.0077,98,85.4140
10,-76.9180,61,84.1933
11,-89.3800,96,84.7836
12,-138.6525,63,83.6944
13,-296.8030,75,83.2597
14,-127.2061,64,82.2967
15,-288.1064,99,83.1319
16,-140.0020,75,82.7253
17,-41.9588,112,84.1890
18,-124.8519,99,84.9296
19,-331.1941,128,87.0831
20,-202.9906,79,86.6789
21,-251.2183,90,86.8450
22,-56.5882,65,85.7527
23,-160.5914,98,86.3651
24,-286.2266,93,86.6968
25,-117.1063,107,87.7120
26,-123.1729,90,87.8264
27,-141.0005,109,88.8851
28,-211.0685,61,87.4908
29,-223.8731,95,87.8663
30,-125.6176,85,87.7230
31,-370.2701,110,88.8368
32,-104.7426,118,90.2950
33,-104.4089,66,89.0802
34,-306.9240,75,88.3762
35,-114.6999,79,87.9074
36,-23.6732,117,89.3620
37,-139.6661,55,87.6439
38,-131.1229,67,86.6117
39,-303.4265,120,88.2812
40,-129.1223,62,86.9671
41,-86.9744,77,86.4687
42,-64.9880,87,86.4953
43,-137.8726,120,88.1705
44,-126.6289,69,87.2120
45,-62.9175,65,86.1014
46,-53.1646,68,85.1963
47,-102.3704,75,84.6865
48,-121.1818,90,84.9522
49,-103.1841,77,84.5546
50,-161.4962,68,83.7269
51,-111.6784,89,83.9905
52,-105.7737,60,82.7910
53,-128.3508,96,83.4514
54,-165.8990,96,84.0789
55,-114.2485,98,84.7749
56,-94.9158,80,84.5362
57,-72.9970,84,84.5094
58,-125.0540,91,84.8339
59,-83.0608,64,83.7922
60,-106.1563,81,83.6526
61,-190.5292,117,85.3200
62,-149.1674,117,86.9040
63,-141.2738,73,86.2088
64,-129.1600,67,85.2483
65,-124.3085,63,84.1359
66,-103.0860,66,83.2291
67,-63.5557,71,82.6177
68,-91.6722,93,83.1368
69,-155.5987,75,82.7299
70,-132.0044,101,83.6434
71,-104.7973,66,82.7613
72,-72.9993,66,81.9232
73,-73.6134,67,81.1770
74,-199.6704,103,82.2682
75,-156.5694,116,83.9548
76,-67.2261,96,84.5570
77,-145.5658,97,85.1792
78,33.5611,84,85.1202
79,-119.1140,80,84.8642
80,-148.4439,64,83.8210
81,-83.1839,70,83.1300
82,-111.1197,74,82.6735
83,-260.8454,124,84.7398
84,-169.4537,87,84.8528
85,-169.3034,93,85.2602
86,-114.6975,96,85.7972
87,-125.1543,119,87.4573
88,-94.6454,68,86.4844
89,-85.3646,64,85.3602
90,-135.3830,138,87.9922
91,-100.4912,95,88.3426
92,7.6952,89,88.3755
93,-165.2119,115,89.7067
94,-123.5732,82,89.3214
95,-95.2792,80,88.8553
96,20.7490,97,89.2625
97,-227.0188,126,91.0994
98,-102.3975,77,90.3944
99,-146.9346,98,90.7747
100,-150.2276,89,90.6860
101,-112.3639,97,91.0017
102,-78.1995,64,89.6516
103,-109.9350,97,90.0190
104,-122.6358,85,89.7681
105,-93.2735,63,88.4297
106,-129.5832,76,87.8082
107,-93.6261,106,88.7178
108,-163.8156,94,88.9819
109,-72.4341,83,88.6828
110,-101.5844,101,89.2986
111,-130.3796,106,90.1337
112,-129.6564,72,89.2270
113,-107.3017,63,87.9157
114,-187.1539,118,89.4199
115,-240.6775,104,90.1489
116,-86.5194,65,88.8914
117,-123.5579,81,88.4969
118,-132.7804,88,88.4720
119,-148.7556,92,88.6484
120,-238.3913,106,89.5160
121,-99.6429,73,88.6902
122,-130.7373,111,89.8057
123,-84.7358,89,89.7654
124,-115.9156,109,90.7271
125,-79.8133,63,89.3408
126,-85.9355,64,88.0737
127,-111.4710,81,87.7201
128,-98.5029,77,87.1841
129,-132.6425,74,86.5249
130,-108.6799,76,85.9986
131,-73.5739,61,84.7487
132,-109.1953,83,84.6612
133,-120.9454,98,85.3282
134,-108.3867,70,84.5618
135,-116.2924,72,83.9337
136,-266.3447,126,86.0370
137,-110.2015,82,85.8352
138,-188.9676,96,86.3434
139,-166.8686,143,89.1762
140,-255.2552,109,90.1674
141,-124.3087,112,91.2590
142,-211.2200,72,90.2961
143,-91.3550,82,89.8813
144,-128.9670,92,89.9872
145,-104.3501,130,91.9879
146,-182.9644,133,94.0385
147,-114.6614,76,93.1365
148,-102.3408,130,94.9797
149,-127.4145,150,97.7307
150,-71.1136,70,96.3442
151,-129.4617,105,96.7770
152,-88.1391,108,97.3381
153,-194.3908,91,97.0212
154,-100.8283,101,97.2202
155,-69.0847,66,95.6592
156,-106.5687,106,96.1762
157,-161.7885,128,97.7674
158,-156.1813,117,98.7290
159,-94.3351,61,96.8426
160,-125.9633,81,96.0504
161,-102.7024,107,96.5979
162,-77.3301,70,95.2680
163,-122.3372,119,96.4546
164,-62.5398,69,95.0819
165,-98.4444,86,94.6278
166,-127.6417,68,93.2964
167,-106.9413,69,92.0816
168,-146.2521,138,94.3775
169,-110.4345,98,94.5586
170,-127.1670,112,95.4307
171,-81.5055,94,95.3592
172,-72.0985,120,96.5912
173,32.1285,1000,141.7616
174,-117.1566,88,139.0736
175,-72.2887,104,137.3199
176,-116.8831,140,137.4539
177,-93.7551,127,136.9312
178,-92.6958,81,134.1346
179,26.7255,113,133.0779
180,-63.4256,69,129.8740
181,-122.0197,91,127.9303
182,-176.1621,80,125.5338
183,-106.0011,81,123.3071
184,-104.0044,67,120.4917
185,-81.6849,86,118.7672
186,-62.5560,65,116.0788
187,-123.1947,119,116.2249
188,-92.5373,78,114.3136
189,-73.0973,77,112.4479
190,-76.9501,117,112.6755
