UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,24,0.4087,-0.0140,0.8730,1.3771
2,47,0.3784,-0.0143,0.8128,1.3706
3,71,0.3062,-0.0199,0.6795,1.3662
4,93,0.4659,0.0250,0.9089,1.3562
5,115,0.3411,-0.0221,0.7537,1.3606
6,139,0.2900,-0.0111,0.6295,1.3654
7,158,0.4416,0.0258,0.8590,1.3690
8,173,0.3548,-0.1783,1.0935,1.3666
9,191,0.3066,-0.0358,0.7119,1.3589
10,212,0.3368,-0.0749,0.8504,1.3445
11,230,0.4461,0.1125,0.6937,1.3249
12,246,0.3241,-0.0298,0.7337,1.2974
13,259,0.5473,0.0325,1.0557,1.3050
14,274,0.3847,-0.0379,0.8713,1.3085
15,292,0.2927,-0.0115,0.6342,1.2950
16,309,0.2358,-0.0026,0.5024,1.2730
17,326,0.1389,0.0101,0.2833,1.2943
18,343,0.1337,0.0187,0.2543,1.2124
19,356,0.2568,-0.1135,0.7650,1.2197
20,371,0.3270,0.0561,0.5646,1.1391
21,380,-0.0459,-0.3265,0.5857,1.2260
22,388,0.3446,0.1058,0.5026,1.2440
23,397,0.3116,0.0248,0.5976,1.1956
24,404,0.0958,-0.1151,0.4456,1.1855
25,408,0.2297,-0.0036,0.4921,1.2729
26,419,0.4208,0.0422,0.7810,1.1862
27,431,0.1684,-0.0104,0.3795,1.0901
28,434,0.2090,-0.0416,0.5253,1.2019
29,437,0.2152,0.0232,0.4089,1.2486
30,439,0.2961,0.0038,0.6097,1.2465
31,443,0.2255,-0.0141,0.5032,1.2052
32,446,0.2579,-0.1440,0.8273,1.1859
33,448,0.3035,0.0938,0.4448,1.2614
34,451,0.3889,-0.0340,0.8682,1.1204
35,454,0.1937,-0.0170,0.4443,1.1442
36,458,0.2342,0.0078,0.4748,1.1006
37,462,0.2135,0.0167,0.4174,1.1892
38,464,0.1508,-0.0644,0.4548,1.2150
39,469,0.4201,0.1335,0.5965,1.1551
40,471,0.0536,-0.1271,0.3862,1.2410
41,476,0.2752,0.0506,0.4709,1.0891
42,481,0.1681,-0.0193,0.3985,1.1798
43,485,0.1309,-0.0208,0.3253,1.0977
44,496,0.2939,0.1378,0.3318,0.9798
45,498,0.1396,-0.0640,0.4319,1.2298
46,501,0.2284,-0.1194,0.7177,1.1035
47,505,0.2112,0.0468,0.3527,1.1993
48,509,0.1680,0.0135,0.3329,1.1992
49,511,0.0431,-0.0682,0.2465,1.1918
50,515,0.4160,0.1324,0.5903,1.1521
51,521,0.2605,0.0422,0.4589,1.1150
52,524,0.1191,-0.0566,0.3748,1.1657
53,526,0.1444,-0.0471,0.4029,1.0015
54,528,0.1902,0.0282,0.3463,1.1119
55,531,0.0889,-0.0021,0.2030,1.0466
56,534,0.2664,0.0520,0.4500,1.0565
57,537,0.2322,-0.0326,0.5510,1.0636
58,541,0.1694,0.0333,0.2939,1.0815
59,543,0.0650,-0.1319,0.4154,1.0900
60,545,0.1609,-0.0006,0.3439,1.0477
61,547,0.0090,-0.0541,0.1473,1.0612
62,550,0.4878,0.2776,0.4414,1.0510
63,552,0.1271,-0.0812,0.4381,1.0806
64,554,0.1087,0.0125,0.2139,1.0823
65,556,0.0769,0.0027,0.1698,1.0713
66,558,0.1400,0.0082,0.2854,1.0871
67,560,0.1067,-0.0045,0.2439,1.0753
68,563,0.4654,0.2269,0.4985,1.0641
69,566,0.2163,-0.1786,0.8106,1.0402
70,568,0.2279,0.0659,0.3453,1.0684
71,571,0.1226,-0.0270,0.3194,1.0169
72,574,0.1229,-0.0499,0.3669,1.0619
73,577,0.1109,0.0170,0.2088,1.0447
74,580,0.2909,0.1236,0.3566,1.0991
75,582,0.0639,-0.1027,0.3548,1.0833
76,585,0.0493,-0.2586,0.6330,0.8548
77,587,0.7672,0.3221,0.9123,1.1014
78,590,0.1942,-0.0062,0.4223,1.0685
79,592,0.1093,-0.0650,0.3700,1.0717
80,594,0.4851,-0.6450,2.2804,1.0146
81,596,0.3126,0.1464,0.3535,1.0494
82,599,0.0367,-0.0615,0.2181,1.0829
83,601,0.1401,-0.1028,0.5066,1.0450
84,603,0.1528,-0.0017,0.3276,0.9297
85,605,0.2139,0.0552,0.3360,0.9272
86,608,0.5154,0.0275,0.9970,1.0632
87,610,0.0610,-0.0925,0.3294,1.1228
88,612,0.4336,0.1291,0.6313,1.1145
89,614,0.1557,-0.0560,0.4444,1.0494
90,616,0.0454,-0.0542,0.2215,1.1147
91,618,0.1079,0.0210,0.1949,1.0605
92,621,0.3576,0.0465,0.6439,1.0823
93,623,0.1968,-0.1107,0.6352,1.0142
94,625,0.1829,0.0406,0.3059,1.0723
95,627,0.1642,-0.0119,0.3733,1.0587
96,629,0.0822,-0.0220,0.2294,1.0432
97,633,0.6268,0.2961,0.6812,0.9972
98,635,0.0083,-0.1327,0.3011,0.9598
99,637,0.0891,-0.0470,0.2921,1.0056
100,639,0.2758,0.0073,0.5565,0.9746
101,641,0.0958,-0.0019,0.2167,1.0598
102,643,0.0776,-0.0093,0.1939,1.0066
103,645,0.1252,0.0688,0.1317,0.9509
104,647,-0.0061,-0.0372,0.0815,0.9661
105,650,0.4617,-0.0481,1.0390,0.9680
106,652,0.1097,-0.0536,0.3460,0.9746
107,654,0.3011,0.1507,0.3204,0.9777
108,656,0.0118,-0.0785,0.2009,1.0124
109,658,0.1004,0.0326,0.1553,0.9903
110,660,0.1333,0.0084,0.2697,0.9890
111,662,0.0340,-0.0046,0.0971,0.9905
112,664,0.0662,0.0394,0.0740,1.0179
113,666,0.0091,-0.0226,0.0840,1.0356
114,668,0.0420,-0.0103,0.1258,1.0565
115,670,0.0432,0.0170,0.0737,1.0744
116,672,0.0199,-0.0130,0.0868,1.0478
117,674,0.0266,0.0047,0.0624,0.9384
118,676,0.0646,0.0237,0.1024,1.0289
119,679,0.3606,0.0251,0.6900,0.9494
120,681,0.2414,0.0761,0.3500,0.9670
121,683,0.0015,-0.1161,0.2542,0.9453
122,686,0.5852,0.1621,0.8650,0.9394
123,688,0.0896,0.0186,0.1600,0.8991
124,690,-0.0288,-0.1068,0.1750,0.9590
125,692,0.0980,0.0148,0.1852,0.9422
126,694,0.1028,0.0313,0.1625,0.9783
127,696,0.0379,-0.0453,0.1869,1.0167
128,698,0.1926,0.0618,0.2825,1.0488
129,700,0.4544,0.0865,0.7561,1.0152
130,702,0.0821,-0.0539,0.2920,0.9976
131,705,0.2467,0.0742,0.3645,0.9777
132,708,0.0950,-0.1341,0.4794,1.0589
133,711,0.3471,0.0818,0.5512,1.0320
134,713,0.0244,-0.2057,0.4784,0.9062
135,715,0.2932,0.0961,0.4143,1.0008
136,717,0.1847,0.0381,0.3131,1.0042
137,719,-0.0556,-0.0888,0.0873,1.0443
138,721,0.1541,0.0752,0.1775,0.9907
139,723,0.0604,0.0193,0.1021,1.0011
140,725,0.0323,-0.0134,0.1114,0.9997
