UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.4215,-0.0312,0.9331,1.3830
2,44,0.4598,0.0467,0.8538,1.3801
3,67,0.4550,-0.0222,0.9819,1.3774
4,89,0.3101,-0.0706,0.7885,1.3649
5,109,0.2744,0.0194,0.5372,1.3610
6,130,0.2280,-0.0486,0.5806,1.3608
7,148,0.4271,0.0548,0.7718,1.3569
8,168,0.2421,-0.0139,0.5391,1.3535
9,188,0.5068,0.0262,0.9882,1.3582
10,209,0.2420,-0.0357,0.5821,1.3356
11,228,0.2773,0.0585,0.4646,1.3469
12,247,0.2523,-0.0042,0.5396,1.3408
13,268,0.2177,-0.0213,0.5044,1.3193
14,287,0.1756,0.0256,0.3259,1.2915
15,302,0.1410,-0.0028,0.3137,1.2999
16,319,0.1872,-0.0323,0.4645,1.2691
17,338,0.1275,0.0308,0.2188,1.2718
18,354,0.0886,0.0032,0.1953,1.2213
19,370,0.1966,0.0239,0.3697,1.2145
20,383,0.1427,-0.0488,0.4069,1.1972
21,393,0.2184,-0.0743,0.6103,1.2428
22,407,0.4029,0.1719,0.4855,1.1756
23,420,-0.0421,-0.1921,0.3236,1.1732
24,427,0.2152,-0.0623,0.5794,1.2281
25,437,0.4222,0.1394,0.5891,1.1795
26,439,0.1871,-0.2743,0.9485,1.2803
27,442,0.1428,-0.1437,0.5985,1.2747
28,447,0.5563,0.1359,0.8659,1.2529
29,452,0.3407,0.0306,0.6451,1.2511
30,459,0.3736,0.0242,0.7228,1.1962
31,467,0.3071,0.0018,0.6346,1.2089
32,469,0.0782,-0.1798,0.5419,1.2920
33,475,0.5287,0.1457,0.7906,1.2358
34,480,0.3164,0.0418,0.5735,1.2141
35,483,0.0093,-0.2000,0.4441,1.2756
36,489,0.6131,0.2932,0.6629,1.1553
37,492,0.2839,-0.0583,0.7092,1.2364
38,496,0.2943,-0.0168,0.6469,1.2382
39,498,0.1938,-0.0853,0.5835,1.2638
40,503,0.4323,0.1009,0.6868,1.1990
41,511,0.1892,0.0222,0.3571,1.1543
42,517,0.0486,-0.1063,0.3337,1.1922
43,520,0.3205,0.0111,0.6429,1.2091
44,522,0.0858,-0.1477,0.4925,1.2737
45,526,0.3373,0.1181,0.4636,1.2526
46,529,0.2007,-0.0375,0.5008,1.2186
47,531,0.0085,-0.1374,0.3170,1.2556
48,537,0.6217,0.2614,0.7437,1.1570
49,539,-0.0013,-0.1769,0.3759,1.2395
50,542,0.3774,0.0971,0.5845,1.1909
51,544,0.1172,-0.0816,0.4219,1.2197
52,546,0.0924,-0.0538,0.3165,1.2036
53,551,0.6321,0.2556,0.7767,1.1817
54,553,0.1795,-0.0845,0.5518,1.1892
55,557,0.3729,0.0681,0.6325,1.1449
56,560,0.2234,-0.0550,0.5795,1.1362
57,563,0.2562,0.0312,0.4731,1.1597
58,565,0.0337,-0.1440,0.3794,1.1993
59,567,0.1717,0.0006,0.3658,1.1820
60,569,0.0925,-0.0461,0.3009,1.1806
