UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,45,0.4142,-0.0368,0.9295,1.3813
2,89,0.4399,-0.0211,0.9496,1.3713
3,129,0.3610,-0.0428,0.8348,1.3607
4,168,0.4564,0.0359,0.8679,1.3449
5,206,0.2874,-0.0255,0.6527,1.3355
6,240,0.4101,0.0076,0.8311,1.3095
7,277,0.2920,0.0072,0.5956,1.2995
8,310,0.4040,0.0267,0.7804,1.2942
9,342,0.4323,-0.0927,1.0757,1.2952
10,370,0.2876,-0.0554,0.7114,1.2725
11,401,0.2613,-0.0052,0.5583,1.2656
12,418,0.3675,-0.0425,0.8459,1.2956
13,450,0.2596,-0.0047,0.5530,1.2256
14,471,0.4008,0.0524,0.7217,1.2486
15,500,0.2502,-0.0467,0.6177,1.1887
16,514,0.3842,0.0077,0.7772,1.2078
17,533,0.2406,-0.0318,0.5689,1.2122
18,557,0.2414,-0.0226,0.5503,1.1156
19,574,0.3555,0.0449,0.6448,1.1844
20,581,0.2865,-0.0714,0.7403,1.2223
21,591,0.3737,0.0924,0.5871,1.2189
22,608,0.2900,0.0272,0.5476,1.1077
23,616,0.2393,-0.0704,0.6443,1.2489
24,624,0.2330,-0.0427,0.5759,1.2280
25,642,0.2298,0.0732,0.3358,1.1223
26,659,0.1890,-0.0221,0.4449,1.1290
27,669,0.1195,0.0063,0.2501,1.1822
28,677,0.2216,-0.2916,1.0497,1.1666
29,683,0.6412,0.2751,0.7555,1.1651
30,688,0.2577,-0.0719,0.6829,1.1845
31,692,0.2678,-0.0147,0.5879,1.1507
32,699,0.4157,0.0934,0.6661,1.0764
33,705,0.1551,-0.0844,0.5013,1.1160
34,711,0.4203,0.0537,0.7549,1.0821
35,715,0.0556,-0.0849,0.3029,1.0976
36,719,0.1869,-0.0428,0.4829,1.1752
37,725,0.5494,0.1448,0.8294,1.0029
38,729,0.1453,-0.1054,0.5242,1.1427
39,733,0.1188,-0.0300,0.3198,1.1105
40,737,0.2347,0.0246,0.4425,1.1120
41,742,0.4603,0.0976,0.7469,1.0762
42,746,0.0853,-0.1195,0.4319,1.1154
43,751,0.3514,0.0454,0.6342,1.1154
