Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-231.1037,99,86.3360
24,-165.3798,124,88.2192
25,-211.8027,113,89.4583
26,-436.9397,87,89.3353
27,-275.4984,97,89.7186
28,-98.8105,69,88.6826
29,-226.7373,101,89.2985
30,-123.9090,85,89.0836
31,-308.8403,108,90.0294
32,-388.0268,131,92.0779
33,-147.0981,66,90.7740
34,-124.5137,78,90.1353
35,-139.2635,81,89.6786
36,-137.4990,114,90.8946
37,-89.3740,65,89.5999
38,-105.4545,78,89.0199
39,-425.6882,130,91.0689
40,-89.5158,57,89.3655
41,-205.7819,88,89.2972
42,-89.0281,87,89.1823
43,-249.6640,128,91.1232
44,-82.0449,78,90.4671
45,-112.6601,75,89.6937
46,-72.7416,80,89.2090
47,-141.2380,78,88.6486
48,-99.7272,95,88.9661
49,-150.7779,102,89.6178
50,-266.8197,85,89.3869
51,-194.8609,110,90.4176
52,-25.2612,89,90.3467
53,-281.2281,131,92.3794
54,-160.1830,84,91.9604
55,-99.2835,103,92.5124
56,-78.3648,84,92.0868
57,-108.1223,81,91.5324
58,-77.6361,92,91.5558
59,-67.6971,63,90.1280
60,-179.0170,86,89.9216
61,-124.2779,136,92.2255
62,-135.1841,113,93.2643
63,-88.1287,78,92.5010
64,-89.6814,68,91.2760
65,-91.3082,65,89.9622
66,-119.3739,68,88.8641
67,-99.3904,75,88.1709
68,-109.0407,87,88.1123
69,-139.7302,85,87.9567
70,-115.8060,123,89.7089
71,-87.0006,77,89.0734
72,-448.4855,102,89.7198
73,-87.4920,69,88.6838
74,-283.1347,120,90.2496
75,-132.7224,106,91.0371
76,-117.8139,81,90.5353
77,-66.8929,103,91.1585
78,-81.4446,66,89.9006
79,-118.2099,98,90.3055
80,-85.8597,69,89.2403
81,-87.8707,66,88.0783
82,-99.3365,87,88.0243
