UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.3706,-0.0398,0.8483,1.3724
2,44,0.2354,-0.0537,0.6056,1.3657
3,67,0.3404,0.0464,0.6152,1.3632
4,89,0.2181,-0.0099,0.4832,1.3592
5,110,0.1775,-0.0127,0.4075,1.3501
6,131,0.2460,-0.0249,0.5688,1.3516
7,149,0.4260,0.0334,0.8119,1.3426
8,169,0.2462,0.0106,0.4978,1.3244
9,189,0.1407,-0.0026,0.3126,1.3102
10,207,0.0739,-0.0069,0.1866,1.2486
11,222,0.1137,0.0023,0.2477,1.2468
12,238,0.1315,0.0013,0.2839,1.1796
13,246,0.2135,-0.1712,0.7935,1.2060
14,259,0.1381,0.0127,0.2727,1.0974
15,266,0.0825,-0.0918,0.3715,1.1464
16,273,0.2167,0.0267,0.4038,1.1938
17,277,0.2444,-0.0221,0.5579,1.2430
18,288,0.2378,0.0372,0.4241,1.1468
19,293,0.1683,-0.0755,0.5115,1.1899
20,296,0.1867,-0.0305,0.4580,1.1813
21,298,0.2703,0.0542,0.4569,1.2388
22,300,0.0980,-0.0272,0.2753,1.2412
23,305,0.3548,0.0265,0.6806,1.2016
24,309,0.1452,-0.0079,0.3298,1.1830
25,314,0.2124,-0.0106,0.4699,1.2010
26,318,0.1617,-0.0069,0.3603,1.1604
27,323,0.1827,0.0006,0.3880,1.1916
28,326,0.1505,-0.0061,0.3371,1.1978
29,328,0.0670,-0.0284,0.2150,1.2112
30,333,0.3879,0.1123,0.5741,1.1437
31,338,0.2054,-0.0002,0.4332,1.1045
32,341,0.2295,-0.0255,0.5339,1.2036
33,345,0.1871,0.0170,0.3637,1.1757
34,349,0.2311,-0.0267,0.5389,1.1649
35,351,0.0985,-0.0414,0.3025,1.1425
36,355,0.4223,0.0617,0.7433,1.1083
37,357,0.0915,-0.0390,0.2839,1.1453
38,360,0.2886,0.0160,0.5678,1.1352
39,364,0.2563,0.0409,0.4533,1.1250
40,369,0.1903,-0.0213,0.4453,1.1084
41,371,0.2059,-0.0007,0.4351,1.0939
42,373,0.0962,-0.0389,0.2919,1.0814
43,375,0.0629,-0.0596,0.2672,1.1159
44,378,0.3254,0.0402,0.5923,1.0941
45,380,0.0696,-0.0339,0.2290,1.0920
46,382,0.1319,0.0117,0.2624,1.1029
47,384,0.2922,0.0479,0.5090,1.0272
48,386,0.0329,-0.0374,0.1626,1.1029
49,389,0.3471,0.0814,0.5523,1.0436
50,392,0.1855,-0.0436,0.4804,1.1089
51,396,0.3256,0.0173,0.6386,1.0918
52,398,0.1083,-0.0210,0.2800,1.0745
53,401,0.2114,0.0520,0.3418,1.1502
54,403,0.0934,-0.0005,0.2105,1.1353
55,405,0.2031,-0.0247,0.4779,1.1159
56,407,0.2461,-0.0079,0.5308,1.1325
57,409,0.0823,0.0032,0.1803,1.1032
58,412,0.1761,0.0079,0.3584,1.1054
59,414,0.0855,-0.0154,0.2244,1.1267
60,417,0.2387,0.0379,0.4228,1.0545
61,419,0.0334,-0.0398,0.1678,1.0767
62,421,0.0647,-0.0073,0.1665,1.1172
63,424,0.2993,0.0080,0.6035,1.0394
64,426,0.1347,-0.0203,0.3310,1.0485
65,428,0.2788,0.0610,0.4559,1.0174
66,430,0.0825,-0.0341,0.2526,0.9713
67,435,0.5133,0.1319,0.7841,1.0616
68,437,0.0042,-0.0591,0.1483,1.0877
69,440,0.1745,0.0189,0.3338,1.1367
70,442,0.0582,-0.0035,0.1463,1.1420
71,446,0.5008,0.0674,0.8876,1.0460
72,448,0.1614,-0.0244,0.3937,1.1115
