Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-270.6654,99,86.3360
24,-123.0578,105,87.2692
25,-359.2403,123,89.0558
26,-516.9747,82,88.7030
27,-277.6299,91,88.8178
28,-249.0825,59,87.3269
29,-83.8866,127,89.3106
30,-80.5553,84,89.0451
31,-256.5576,118,90.4928
32,-121.7833,153,93.6182
33,-96.6813,77,92.7873
34,-112.3171,71,91.6979
35,-83.1927,84,91.3130
36,-97.4726,99,91.6973
37,-107.3230,57,89.9625
38,-77.4839,74,89.1644
39,-254.5184,125,90.9561
40,-77.2990,55,89.1583
41,-218.7236,83,88.8504
42,-106.7989,76,88.2079
43,-227.4832,110,89.2975
44,-109.5384,84,89.0326
45,-110.5017,66,87.8810
46,-100.5439,71,87.0369
47,-248.2341,83,86.8351
48,-97.5570,90,86.9933
49,-178.7306,94,87.3437
50,-100.6454,94,87.6765
51,-90.8438,115,89.0427
52,-236.5391,66,87.8905
53,-261.2425,100,88.4960
54,-130.9140,96,88.8712
55,-19.6859,118,90.3276
56,-97.1368,82,89.9113
57,-74.9849,84,89.6157
58,-213.6907,95,89.8849
59,-63.5007,63,88.5407
60,-191.6523,90,88.6136
61,-102.0361,130,90.6830
62,-106.1100,107,91.4988
63,-50.6083,74,90.6239
64,-270.9348,79,90.0427
65,-306.3964,62,88.6405
66,-91.2817,66,87.5085
67,38.3898,93,87.7831
68,-253.5816,98,88.2939
69,-367.9404,82,87.9792
70,-309.7003,94,88.2803
71,-82.0218,64,87.0663
72,-90.6608,72,86.3129
73,-113.4240,66,85.2973
74,-346.6453,96,85.8324
75,-347.3635,105,86.7908
76,-116.5531,85,86.7013
77,-123.9717,102,87.4662
78,-217.2982,75,86.8429
79,-253.0126,89,86.9508
80,-126.9104,64,85.8032
81,-92.6774,62,84.6131
82,-419.4483,86,84.6824
