UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.3319,-0.1588,1.0091,1.3855
2,45,0.3674,-0.1475,1.0575,1.3856
3,68,0.3603,-0.1383,1.0250,1.3856
4,90,0.3528,-0.1436,1.0205,1.3855
5,111,0.3590,-0.1488,1.0433,1.3857
6,134,0.3506,-0.1358,1.0005,1.3856
7,154,0.3786,-0.1177,1.0204,1.3853
8,175,0.3726,-0.1218,1.0166,1.3855
9,198,0.3908,-0.1116,1.0325,1.3856
10,220,0.4003,-0.1005,1.0294,1.3854
11,242,0.3817,-0.1040,0.9990,1.3856
12,265,0.3878,-0.1018,1.0069,1.3855
13,287,0.3916,-0.0915,0.9940,1.3855
14,309,0.3860,-0.1029,1.0054,1.3857
15,332,0.3872,-0.0998,1.0016,1.3857
16,354,0.4081,-0.0817,1.0074,1.3855
17,375,0.3987,-0.0899,1.0048,1.3856
18,396,0.3958,-0.0864,0.9921,1.3856
19,419,0.3997,-0.0864,0.9999,1.3857
20,441,0.4111,-0.0805,1.0109,1.3857
21,464,0.4160,-0.0728,1.0054,1.3856
22,486,0.3963,-0.0868,0.9939,1.3857
23,508,0.4037,-0.0782,0.9916,1.3857
24,530,0.4005,-0.0803,0.9892,1.3857
25,552,0.4159,-0.0682,0.9958,1.3856
26,577,0.4062,-0.0677,0.9754,1.3857
27,598,0.4170,-0.0631,0.9879,1.3856
28,619,0.4269,-0.0582,0.9979,1.3856
29,641,0.4135,-0.0656,0.9860,1.3857
30,665,0.4204,-0.0579,0.9843,1.3856
31,688,0.4285,-0.0510,0.9866,1.3856
32,709,0.4223,-0.0528,0.9779,1.3856
33,732,0.4294,-0.0517,0.9899,1.3857
34,753,0.4287,-0.0463,0.9776,1.3855
35,775,0.4364,-0.0445,0.9894,1.3855
36,797,0.4261,-0.0539,0.9875,1.3856
37,819,0.4267,-0.0483,0.9776,1.3855
38,842,0.4330,-0.0406,0.9749,1.3857
39,864,0.4180,-0.0510,0.9657,1.3857
40,887,0.4386,-0.0383,0.9814,1.3857
41,911,0.4353,-0.0417,0.9817,1.3858
42,933,0.4256,-0.0457,0.9702,1.3855
43,955,0.4401,-0.0340,0.9761,1.3857
44,975,0.4470,-0.0312,0.9841,1.3857
45,996,0.4332,-0.0400,0.9742,1.3857
46,1016,0.4439,-0.0380,0.9916,1.3856
