Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-230.8002,99,86.3360
24,-177.9160,123,88.1692
25,-389.7011,113,89.4108
26,-458.3615,88,89.3402
27,-369.1726,93,89.5232
28,-67.9050,67,88.3970
29,-312.8635,96,88.7772
30,-48.8221,89,88.7883
31,-366.5477,106,89.6489
32,-405.6283,138,92.0665
33,-127.7036,66,90.7632
34,16.5235,96,91.0250
35,-139.2323,88,90.8737
36,-257.0530,111,91.8801
37,-88.8025,61,90.3361
38,-116.1709,74,89.5193
39,-290.8126,126,91.3433
40,-103.2723,56,89.5761
41,-215.9215,95,89.8473
42,-91.8084,86,89.6550
43,-335.6632,124,91.3722
44,-108.1749,79,90.7536
45,-85.2994,72,89.8159
46,-351.2878,90,89.8251
47,-154.8393,77,89.1839
48,-129.1403,91,89.2747
49,-106.8799,93,89.4609
50,-281.4439,84,89.1879
51,-70.9486,113,90.3785
52,-31.5681,73,89.5096
53,-35.4078,123,91.1841
54,-110.8720,80,90.6249
55,-115.5698,103,91.2436
56,-89.8333,86,90.9815
57,-109.3044,85,90.6824
58,-348.1095,116,91.9483
59,-67.9654,69,90.8009
60,-141.5312,82,90.3608
61,-236.1881,127,92.1928
62,-135.1841,113,93.2331
63,11.9106,87,92.9215
64,-95.7108,64,91.4754
65,-86.1314,67,90.2516
66,-109.5251,63,88.8891
67,-69.7332,75,88.1946
68,-102.0608,86,88.0849
69,-135.4768,89,88.1306
70,-240.7048,101,88.7741
71,-79.9303,75,88.0854
72,-72.8362,69,87.1311
73,-96.2977,74,86.4746
74,-324.2295,94,86.8508
75,-151.4030,105,87.7583
76,-99.4796,86,87.6704
77,-114.3610,93,87.9369
78,-122.5170,68,86.9400
79,-131.7427,82,86.6930
80,-90.9747,63,85.5084
81,7.8719,89,85.6829
82,-140.0702,74,85.0988
83,-190.4942,120,86.8439
