UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.3630,-0.0347,0.9331,1.3773
2,44,0.4145,0.0191,0.9278,1.3712
3,67,0.3336,0.0252,0.7543,1.3764
4,90,0.3137,-0.0470,0.8586,1.3702
5,111,0.4443,-0.0222,1.0681,1.3500
6,136,0.3536,0.0204,0.8023,1.3588
7,155,0.2529,0.0024,0.6382,1.3707
8,174,0.2143,-0.0198,0.6033,1.3508
9,186,0.3154,-0.3111,1.3887,1.3567
10,204,0.3874,0.0005,0.9085,1.3452
11,222,0.2057,0.0087,0.5270,1.3309
12,239,0.3204,0.0427,0.6860,1.3044
13,255,0.1894,0.0001,0.5065,1.2780
14,273,0.1366,0.0184,0.3638,1.2743
15,290,0.1714,0.0092,0.4502,1.2585
16,305,0.1909,0.0255,0.4517,1.2088
17,314,-0.0163,-0.4223,0.9339,1.2192
18,331,0.1811,0.0657,0.3496,1.1891
19,342,0.2785,0.0175,0.6452,1.2319
20,355,0.1285,-0.0270,0.4321,1.2130
21,371,0.0369,-0.0407,0.2774,1.2223
22,389,0.1587,0.0394,0.3527,1.1417
23,400,0.1885,-0.0559,0.6107,1.2190
24,415,0.2978,0.1395,0.4383,1.2164
25,431,0.0247,-0.0942,0.3546,1.1682
26,449,0.1025,0.0424,0.2367,1.1661
27,457,0.1343,-0.1158,0.6263,1.2620
28,467,0.2466,0.0857,0.4461,1.2417
29,478,0.0806,-0.0057,0.2948,1.2222
30,494,0.3864,0.1625,0.5666,1.1887
31,504,-0.0999,-0.4798,0.8849,1.2512
32,511,0.1516,-0.2808,0.9860,1.2117
33,523,0.4504,0.2525,0.5172,1.2130
34,540,0.0709,0.0068,0.2431,1.1477
35,554,0.1339,-0.0326,0.4479,1.1499
36,571,0.1954,0.0739,0.3590,1.1604
37,580,0.1346,-0.1304,0.6516,1.2151
38,597,0.2058,0.0823,0.3605,1.1360
39,609,-0.0069,-0.0913,0.2829,1.1399
40,617,0.1930,0.0588,0.3932,1.2490
41,626,0.0948,-0.0455,0.4016,1.2111
42,638,0.1935,0.0581,0.3890,1.1811
43,644,0.0772,-0.1616,0.6002,1.2257
44,648,0.1611,0.0091,0.4340,1.2984
45,653,0.2547,-0.0126,0.6609,1.2634
46,655,0.2258,0.0304,0.5225,1.3154
47,657,-0.0359,-0.2874,0.6334,1.3040
48,669,1.7850,1.0162,1.6476,1.0993
49,671,0.1674,0.0046,0.4537,1.2798
50,679,0.5291,0.1637,0.8505,1.1958
51,685,0.0496,-0.1582,0.5387,1.2305
52,688,0.0615,-0.1519,0.5539,1.2688
53,698,0.5452,0.3225,0.5623,1.1681
54,702,0.0903,-0.1084,0.5234,1.2606
55,704,0.0268,-0.1019,0.3851,1.2772
56,707,0.1682,0.0181,0.4263,1.2607
57,714,1.1721,0.5277,1.4022,1.1339
58,724,0.2636,0.0261,0.5928,1.1789
59,727,0.1595,-0.1074,0.6565,1.2265
60,732,0.2419,0.0061,0.5934,1.2183
61,738,0.2088,0.0184,0.5023,1.2136
62,742,0.0111,-0.1054,0.3588,1.2579
63,744,0.1468,-0.0090,0.4397,1.2815
64,748,0.2950,0.0487,0.6132,1.2068
65,754,0.1265,0.0505,0.2703,1.1834
66,756,0.0011,-0.1506,0.4306,1.2710
67,762,0.3875,0.1887,0.5167,1.1903
68,766,0.1847,-0.1082,0.7083,1.2248
69,769,0.2866,0.0385,0.6211,1.2492
70,773,0.1623,-0.0597,0.5671,1.2309
71,775,0.0965,-0.0653,0.4524,1.2883
72,777,0.2287,0.1152,0.3576,1.3058
73,779,-0.0824,-0.0983,0.1626,1.3091
74,783,0.4416,0.2089,0.5905,1.2506
75,785,-0.1562,-0.3720,0.5591,1.2741
76,789,0.4178,0.1307,0.6965,1.2222
77,793,0.2652,-0.0299,0.7152,1.2505
78,797,0.2227,-0.0058,0.5750,1.1816
79,804,0.3483,0.0714,0.6708,1.1687
80,806,0.4235,0.0519,0.8674,1.2420
81,811,0.1453,-0.0920,0.5904,1.1577
