Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-230.8002,99,86.3360
24,-177.9160,123,88.1692
25,-389.7011,113,89.4108
26,-458.3615,88,89.3402
27,-369.1726,93,89.5232
28,-67.9050,67,88.3970
29,-312.8635,96,88.7772
30,-48.8221,89,88.7883
31,-366.5477,106,89.6489
32,-439.0907,134,91.8665
33,-139.0666,67,90.6232
34,-170.6864,73,89.7420
35,-117.7302,83,89.4049
36,-377.4803,102,90.0346
37,-98.7825,65,88.7829
38,-260.6865,85,88.5938
39,-269.5091,120,90.1641
40,-128.5287,59,88.6059
41,-203.5527,86,88.4756
42,-76.1349,89,88.5018
43,-315.9628,137,90.9267
44,-86.4763,88,90.7804
45,-91.7797,74,89.9414
46,-344.7060,95,90.1943
47,-131.1790,73,89.3346
48,-146.3070,92,89.4678
49,-316.9313,122,91.0945
50,-124.5452,95,91.2897
51,-128.2859,99,91.6752
52,-115.8407,69,90.5415
53,-171.8290,121,92.0644
54,-102.8322,80,91.4612
55,-120.9600,111,92.4381
56,-113.8349,84,92.0162
57,-105.8296,84,91.6154
58,-114.4581,88,91.4346
59,-39.2251,64,90.0629
60,-257.3490,80,89.5598
61,-182.6675,124,91.2818
62,-132.6215,118,92.6177
63,-231.3162,78,91.8868
64,-105.7226,68,90.6925
65,-163.1600,71,89.7078
66,-96.8466,71,88.7724
67,-57.7869,68,87.7338
68,-12.6326,93,87.9971
69,-173.8868,93,88.2473
70,50.1191,1000,133.8349
71,-108.2605,67,130.4932
72,-116.0299,72,127.5685
73,-99.2776,66,124.4901
74,-206.5519,118,124.1656
75,-178.9899,127,124.3073
76,-120.8207,89,122.5419
77,-17.4824,101,121.4648
78,-138.2374,67,118.7416
79,-137.9946,84,117.0045
80,-141.3833,66,114.4543
81,-103.0387,62,111.8316
82,-115.9232,84,110.4400
