UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.8846,-0.0344,0.9327,1.3770
2,44,0.9505,0.0232,0.9410,1.3723
3,67,0.7199,0.0250,0.7087,1.3747
4,79,1.1319,-0.2516,1.3972,1.3745
5,100,0.6537,-0.0442,0.7115,1.3575
6,122,0.7946,0.0032,0.8049,1.3608
7,141,0.7796,0.0237,0.7694,1.3429
8,159,0.9848,0.0959,0.9021,1.3279
9,178,0.6121,-0.0276,0.6532,1.3438
10,199,0.4706,-0.0149,0.4986,1.3167
11,216,0.6877,0.0626,0.6383,1.3153
12,234,0.4084,0.0165,0.4046,1.2699
13,249,0.5314,0.0062,0.5379,1.2656
14,268,0.2227,-0.0414,0.2757,1.1650
15,274,0.6487,-0.4221,1.0835,1.2748
16,291,1.0737,0.4778,0.6082,1.2341
17,305,0.3636,-0.0079,0.3833,1.1810
18,314,0.5969,-0.2571,0.8660,1.1994
19,326,0.5245,0.1016,0.4345,1.1628
20,334,0.2917,-0.1123,0.4158,1.1774
21,343,0.4630,0.0200,0.4551,1.2135
22,349,0.3108,-0.0567,0.3799,1.2361
23,357,0.9901,0.2378,0.7646,1.2213
24,360,0.8974,-0.9624,1.8726,1.2685
25,364,0.7103,0.0020,0.7214,1.3033
26,369,0.6731,-0.1139,0.7995,1.2478
27,375,0.8629,0.1269,0.7483,1.2337
28,385,0.3820,-0.0050,0.3985,1.1428
29,388,0.4463,-0.1581,0.6169,1.2519
30,400,0.8917,0.3891,0.5132,1.0582
31,405,0.4645,-0.0859,0.5619,1.1553
32,407,0.7134,0.0128,0.7131,1.2453
33,412,0.3657,-0.0299,0.4076,1.1982
34,419,0.5474,0.1109,0.4473,1.0771
35,421,0.4192,-0.1762,0.6077,1.2317
36,425,0.9173,0.1730,0.7556,1.1290
37,427,0.6305,-0.0030,0.6456,1.2081
38,432,0.8405,-0.3484,1.1999,1.0945
39,434,0.7967,0.1274,0.6814,1.2025
40,437,0.6352,-0.0121,0.6593,1.2002
41,441,0.4938,-0.0024,0.5077,1.1510
42,444,0.6187,-0.0190,0.6492,1.1519
43,446,0.6340,-0.1050,0.7502,1.1235
44,449,1.4946,0.5060,1.0001,1.1406
